plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.984514487
20RITI20002,1,2,1_2,19,2.1148776
20RITI20003,1,3,1_3,37,1.95816969
20RITI20004,1,4,1_4,55,2.007919823
20RITI20005,1,5,1_5,73,2.040345324
20RITI20006,1,6,1_6,91,1.982703236
20RITI20007,1,7,1_7,109,2.003195127
20RITI20008,1,8,1_8,127,2.011967838
20RITI20009,1,9,1_9,145,1.850101192
20RITI20010,1,10,1_10,163,1.92033738
20RITI20011,1,11,1_11,181,1.811135708
20RITI20012,1,12,1_12,199,1.968061949
20RITI20013,1,13,1_13,217,1.696308487
20RITI20014,1,14,1_14,235,1.716569942
20RITI20015,1,15,1_15,253,1.92145563
20RITI20016,1,16,1_16,271,1.791321643
20RITI20017,1,17,1_17,289,1.813172788
20RITI20018,1,18,1_18,307,1.722428764
20RITI20019,1,19,1_19,325,1.511222871
20RITI20020,1,20,1_20,343,1.890620343
20RITI20021,1,21,1_21,361,1.934972017
20RITI20022,1,22,1_22,379,1.888138518
20RITI20023,1,23,1_23,397,2.02030079
20RITI20024,1,24,1_24,415,2.084468791
20RITI20025,1,25,1_25,433,1.739763651
20RITI20026,1,26,1_26,451,2.038311509
20RITI20027,1,27,1_27,469,1.827343612
20RITI20028,1,28,1_28,487,1.99464978
20RITI20029,1,29,1_29,505,2.0351564
20RITI20030,1,30,1_30,523,1.992840418
20RITI20031,1,31,1_31,541,1.535551269
20RITI20032,1,32,1_32,559,1.970318424
20RITI20033,1,33,1_33,577,1.936545949
20RITI20034,1,34,1_34,595,2.011294026
20RITI20035,1,35,1_35,613,1.595213756
20RITI20036,1,36,1_36,631,1.641598912
20RITI20037,1,37,1_37,649,1.893543179
20RITI20038,1,38,1_38,667,2.002297548
20RITI20039,1,39,1_39,685,1.971223467
20RITI20040,1,40,1_40,703,2.004777728
20RITI20041,1,41,1_41,721,1.617050979
20RITI20042,1,42,1_42,739,1.894446082
20RITI20043,1,43,1_43,757,1.805504536
20RITI20044,1,44,1_44,775,1.884304604
20RITI20045,1,45,1_45,793,1.899393701
20RITI20046,1,46,1_46,811,1.647002603
20RITI20047,1,47,1_47,829,1.791105132
20RITI20048,1,48,1_48,847,1.869901821
20RITI20049,1,49,1_49,865,2.089426566
20RITI20050,1,50,1_50,883,2.140998273
20RITI20051,1,51,1_51,901,1.53170564
20RITI20052,1,52,1_52,919,2.285092645
20RITI20053,1,53,1_53,937,1.233382257
20RITI20054,1,54,1_54,955,2.108113101
20RITI20055,1,55,1_55,973,1.74043585
20RITI20056,1,56,1_56,991,1.981362588
20RITI20057,1,57,1_57,1009,1.717239203
20RITI20058,1,58,1_58,1027,2.123198851
20RITI20059,1,59,1_59,1045,2.075927289
20RITI20060,1,60,1_60,1063,1.823513011
20RITI20061,1,61,1_61,1081,1.322780478
20RITI20062,1,62,1_62,1099,2.141659882
20RITI20063,1,63,1_63,1117,1.926854184
20RITI20064,1,64,1_64,1135,1.729633039
20RITI20065,1,65,1_65,1153,1.857516799
20RITI20066,1,66,1_66,1171,1.986977772
20RITI20067,1,67,1_67,1189,2.121629366
20RITI20068,1,68,1_68,1207,2.10001699
20RITI20069,1,69,1_69,1225,2.088530264
20RITI20070,1,70,1_70,1243,2.133556005
20RITI20071,1,71,1_71,1261,1.717243863
20RITI20072,1,72,1_72,1279,2.027729139
20RITI20073,1,73,1_73,1297,1.768801904
20RITI20074,1,74,1_74,1315,1.868327761
20RITI20075,1,75,1_75,1333,1.863818852
20RITI20076,1,76,1_76,1351,1.782095197
20RITI20077,1,77,1_77,1369,1.753718291
20RITI20078,1,78,1_78,1387,1.843335998
20RITI20079,1,79,1_79,1405,2.037408261
20RITI20080,1,80,1_80,1423,2.005884619
20RITI20081,1,81,1_81,1441,1.863155747
20RITI20082,1,82,1_82,1459,1.832082369
20RITI20083,1,83,1_83,1477,1.677378396
20RITI20084,1,84,1_84,1495,1.949144613
20RITI20085,1,85,1_85,1513,1.783225978
20RITI20086,1,86,1_86,1531,1.702159316
20RITI20087,1,87,1_87,1549,2.086952384
20RITI20088,1,88,1_88,1567,1.907722467
20RITI20089,1,89,1_89,1585,2.187371081
20RITI20090,1,90,1_90,1603,1.816993074
20RITI20091,1,91,1_91,1621,1.87326743
20RITI20092,1,92,1_92,1639,1.901650344
20RITI20093,1,93,1_93,1657,1.816536428
20RITI20094,1,94,1_94,1675,1.826677377
20RITI20095,1,95,1_95,1693,1.906827268
20RITI20096,1,96,1_96,1711,1.937442032
20RITI20097,1,97,1_97,1729,1.684596517
20RITI20098,1,98,1_98,1747,1.499301818
