plant_id,Row,Range,Row_Range,id,area_calculation
20RITI21208,13,8,13_8,139,1.634399613
20RITI21308,14,8,14_8,140,1.467323187
20RITI21408,15,8,15_8,141,1.427245694
20RITI21508,16,8,16_8,142,1.826900198
20RITI21608,17,8,17_8,143,1.346192
20RITI21708,18,8,18_8,144,1.582386102
20RITI20009,1,9,1_9,145,1.775562051
20RITI20109,2,9,2_9,146,1.20187519
20RITI20209,3,9,3_9,147,1.239232868
20RITI20309,4,9,4_9,148,1.418236985
20RITI20409,5,9,5_9,149,1.396180591
20RITI20509,6,9,6_9,150,1.31061301
20RITI20609,7,9,7_9,151,1.518216528
20RITI20709,8,9,8_9,152,1.326614272
20RITI20809,9,9,9_9,153,1.515277138
20RITI20909,10,9,10_9,154,1.438953191
20RITI21009,11,9,11_9,155,1.275944392
20RITI21109,12,9,12_9,156,1.290134366
20RITI21209,13,9,13_9,157,1.250736224
20RITI21309,14,9,14_9,158,1.214711328
20RITI21409,15,9,15_9,159,1.379067606
20RITI21509,16,9,16_9,160,1.742243092
20RITI21609,17,9,17_9,161,1.540280648
20RITI21709,18,9,18_9,162,1.305664308
20RITI20010,1,10,1_10,163,1.63483219
20RITI20110,2,10,2_10,164,1.198727064
20RITI20210,3,10,3_10,165,1.606927734
20RITI20310,4,10,4_10,166,1.206148865
20RITI20410,5,10,5_10,167,1.403611225
20RITI20510,6,10,6_10,168,1.324360145
20RITI20610,7,10,7_10,169,1.645432056
20RITI20710,8,10,8_10,170,1.504698587
20RITI20810,9,10,9_10,171,1.553553706
20RITI20910,10,10,10_10,172,1.582605862
20RITI21010,11,10,11_10,173,1.579684231
20RITI21110,12,10,12_10,174,1.307921057
20RITI21210,13,10,13_10,175,1.666584538
20RITI21310,14,10,14_10,176,1.289913448
20RITI21410,15,10,15_10,177,1.496594676
20RITI21510,16,10,16_10,178,1.666594175
20RITI21610,17,10,17_10,179,1.327956636
20RITI21710,18,10,18_10,180,1.353179911
20RITI20011,1,11,1_11,181,1.463281952
20RITI20111,2,11,2_11,182,1.465079825
20RITI20211,3,11,3_11,183,1.336302126
20RITI20311,4,11,4_11,184,1.345970254
20RITI20411,5,11,5_11,185,1.068130315
20RITI20511,6,11,6_11,186,1.396405672
20RITI20611,7,11,7_11,187,1.493677336
20RITI20711,8,11,8_11,188,1.363988353
20RITI20811,9,11,9_11,189,1.365113105
20RITI20911,10,11,10_11,190,1.299356667
20RITI21011,11,11,11_11,191,1.34507249
20RITI21111,12,11,12_11,192,1.448416962
20RITI21211,13,11,13_11,193,1.66208449
20RITI21311,14,11,14_11,194,1.308148272
20RITI21411,15,11,15_11,195,1.460122013
20RITI21511,16,11,16_11,196,1.60039214
20RITI21611,17,11,17_11,197,1.55220948
20RITI21711,18,11,18_11,198,1.366232501
20RITI20012,1,12,1_12,199,1.441208829
20RITI20112,2,12,2_12,200,1.219206573
20RITI20212,3,12,3_12,201,1.411043414
