plant_id,id,Row,Range,Row_Range,area(m^2)
20RITI20137,650,2,37,2_37,1.909520904
20RITI20138,668,2,38,2_38,2.036744021
20RITI20139,686,2,39,2_39,1.947587978
20RITI20140,704,2,40,2_40,2.417700576
20RITI20141,722,2,41,2_41,1.78546828
20RITI20142,740,2,42,2_42,1.614349451
20RITI20143,758,2,43,2_43,1.323681019
20RITI20144,776,2,44,2_44,1.290354502
20RITI20145,794,2,45,2_45,1.63101642
20RITI20146,812,2,46,2_46,1.579902615
20RITI20147,830,2,47,2_47,1.848508244
20RITI20148,848,2,48,2_48,1.946228534
20RITI20149,866,2,49,2_49,1.830275265
20RITI20150,884,2,50,2_50,2.160578243
20RITI20151,902,2,51,2_51,1.946905821
20RITI20152,920,2,52,2_52,2.011075252
20RITI20153,938,2,53,2_53,1.863372301
20RITI20154,956,2,54,2_54,1.77151435
20RITI20155,974,2,55,2_55,1.828921651
20RITI20156,992,2,56,2_56,1.875753891
20RITI20157,1010,2,57,2_57,1.746968652
20RITI20158,1028,2,58,2_58,2.176564635
20RITI20159,1046,2,59,2_59,1.702381722
20RITI20160,1064,2,60,2_60,1.733013062
20RITI20161,1082,2,61,2_61,1.70621099
20RITI20162,1100,2,62,2_62,1.965592475
20RITI20163,1118,2,63,2_63,2.077947335
20RITI20164,1136,2,64,2_64,2.171604961
20RITI20165,1154,2,65,2_65,1.744271041
20RITI20166,1172,2,66,2_66,1.774884819
20RITI20167,1190,2,67,2_67,2.082668751
20RITI20168,1208,2,68,2_68,2.064435393
20RITI20169,1226,2,69,2_69,1.953887857
20RITI20170,1244,2,70,2_70,1.867196953
20RITI20171,1262,2,71,2_71,2.09888507
20RITI20172,1280,2,72,2_72,1.850758512
20RITI20173,1298,2,73,2_73,1.879583319
20RITI20174,1316,2,74,2_74,2.020531239
20RITI20175,1334,2,75,2_75,2.01175061
20RITI20176,1352,2,76,2_76,2.108790672
20RITI20177,1370,2,77,2_77,1.977522435
20RITI20178,1388,2,78,2_78,2.079524247
20RITI20179,1406,2,79,2_79,2.122521229
20RITI20180,1424,2,80,2_80,2.090555407
20RITI20181,1442,2,81,2_81,1.860444708
20RITI20182,1460,2,82,2_82,2.03179031
20RITI20183,1478,2,83,2_83,1.837026679
20RITI20184,1496,2,84,2_84,1.692931773
20RITI20185,1514,2,85,2_85,1.57000211
20RITI20186,1532,2,86,2_86,1.269871052
20RITI20187,1550,2,87,2_87,1.404278342
20RITI20188,1568,2,88,2_88,1.929566003
20RITI20189,1586,2,89,2_89,1.91785484
20RITI20190,1604,2,90,2_90,2.077485959
20RITI20191,1622,2,91,2_91,1.891511186
20RITI20192,1640,2,92,2_92,1.550629515
20RITI20193,1658,2,93,2_93,2.116670297
20RITI20194,1676,2,94,2_94,1.91673801
20RITI20195,1694,2,95,2_95,2.063537026
20RITI20196,1712,2,96,2_96,2.284629138
20RITI20197,1730,2,97,2_97,1.764754183
20RITI20198,1748,2,98,2_98,1.931818921
20RITI20199,1766,2,99,2_99,2.02571534
20RITI20200,1784,2,100,2_100,2.25514151
20RITI20201,3,3,1,3_1,1.980681164
20RITI20202,21,3,2,3_2,2.013553265
20RITI20203,39,3,3,3_3,2.266395416
20RITI20204,57,3,4,3_4,2.060836413
20RITI20205,75,3,5,3_5,2.116895231
20RITI20206,93,3,6,3_6,1.908400991
20RITI20207,111,3,7,3_7,2.135358892
20RITI20208,129,3,8,3_8,2.052947545
20RITI20209,147,3,9,3_9,1.835906599
20RITI20210,165,3,10,3_10,2.080651662
20RITI20211,183,3,11,3_11,1.843335679
20RITI20212,201,3,12,3_12,2.05633106
20RITI20213,219,3,13,3_13,2.009275344
20RITI20214,237,3,14,3_14,2.213265737
20RITI20215,255,3,15,3_15,2.289360125
20RITI20216,273,3,16,3_16,1.90659749
20RITI20217,291,3,17,3_17,1.857071222
20RITI20218,309,3,18,3_18,1.885212238
20RITI20219,327,3,19,3_19,1.829829547
20RITI20220,345,3,20,3_20,1.857747072
20RITI20221,363,3,21,3_21,2.206055593
20RITI20222,381,3,22,3_22,1.918988324
20RITI20223,399,3,23,3_23,1.580130576
20RITI20224,417,3,24,3_24,1.650152437
20RITI20225,435,3,25,3_25,1.868328201
20RITI20226,453,3,26,3_26,1.923937132
20RITI20227,471,3,27,3_27,2.01805431
20RITI20228,489,3,28,3_28,1.877787032
20RITI20229,507,3,29,3_29,1.598141336
20RITI20230,525,3,30,3_30,1.680778604
20RITI20231,543,3,31,3_31,1.674014164
20RITI20232,561,3,32,3_32,2.03809334
20RITI20233,579,3,33,3_33,2.133788727
20RITI20234,597,3,34,3_34,2.435039599
20RITI20235,615,3,35,3_35,2.227223757
20RITI20236,633,3,36,3_36,2.018960906
20RITI20237,651,3,37,3_37,2.13716322
20RITI20238,669,3,38,3_38,2.312102265
20RITI20239,687,3,39,3_39,2.206961806
20RITI20240,705,3,40,3_40,2.753184341
20RITI20241,723,3,41,3_41,2.172509051
20RITI20242,741,3,42,3_42,2.047099273
20RITI20243,759,3,43,3_43,1.927091206
20RITI20244,777,3,44,3_44,2.079519358
20RITI20245,795,3,45,3_45,2.082904781
20RITI20246,813,3,46,3_46,2.060161381
20RITI20247,831,3,47,3_47,1.716344751
20RITI20248,849,3,48,3_48,1.996890362
20RITI20249,867,3,49,3_49,1.993738273
20RITI20250,885,3,50,3_50,1.583731952
20RITI20251,903,3,51,3_51,1.791100162
20RITI20252,921,3,52,3_52,1.905476856
20RITI20253,939,3,53,3_53,2.00341644
20RITI20254,957,3,54,3_54,2.038542809
20RITI20255,975,3,55,3_55,2.043046509
20RITI20256,993,3,56,3_56,1.993288766
20RITI20257,1011,3,57,3_57,1.691359588
20RITI20258,1029,3,58,3_58,2.06038102
20RITI20259,1047,3,59,3_59,2.023004564
20RITI20260,1065,3,60,3_60,2.166655228
20RITI20261,1083,3,61,3_61,2.012647159
20RITI20262,1101,3,62,3_62,2.295442567
20RITI20263,1119,3,63,3_63,1.968972575
20RITI20264,1137,3,64,3_64,2.048894312
20RITI20265,1155,3,65,3_65,1.868099374
20RITI20266,1173,3,66,3_66,2.186918035
20RITI20267,1191,3,67,3_67,2.058804092
20RITI20268,1209,3,68,3_68,2.068938318
20RITI20269,1227,3,69,3_69,2.102041589
20RITI20270,1245,3,70,3_70,2.072318495
20RITI20271,1263,3,71,3_71,1.927990924
20RITI20272,1281,3,72,3_72,1.880480625
20RITI20273,1299,3,73,3_73,1.494571976
20RITI20274,1317,3,74,3_74,1.776914796
20RITI20275,1335,3,75,3_75,2.000042806
20RITI20276,1353,3,76,3_76,2.035163496
