plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.531722767
20RITI20002,1,2,1_2,19,1.925742802
20RITI20003,1,3,1_3,37,1.614352151
20RITI20004,1,4,1_4,55,1.748096546
20RITI20005,1,5,1_5,73,1.951404479
20RITI20006,1,6,1_6,91,1.708474236
20RITI20007,1,7,1_7,109,1.869234254
20RITI20008,1,8,1_8,127,1.787498307
20RITI20009,1,9,1_9,145,1.588676508
20RITI20010,1,10,1_10,163,1.789738191
20RITI20011,1,11,1_11,181,1.671314432
20RITI20012,1,12,1_12,199,1.508305439
20RITI20013,1,13,1_13,217,1.136795423
20RITI20014,1,14,1_14,235,1.381999971
20RITI20015,1,15,1_15,253,1.679198026
20RITI20016,1,16,1_16,271,1.526548955
20RITI20017,1,17,1_17,289,1.474308061
20RITI20018,1,18,1_18,307,1.615256965
20RITI20019,1,19,1_19,325,0.924704576
20RITI20020,1,20,1_20,343,1.358357236
20RITI20021,1,21,1_21,361,1.660737281
20RITI20022,1,22,1_22,379,1.586658732
20RITI20023,1,23,1_23,397,1.836352885
20RITI20024,1,24,1_24,415,1.696537255
20RITI20025,1,25,1_25,433,1.541170634
20RITI20026,1,26,1_26,451,1.706445844
20RITI20027,1,27,1_27,469,1.463498302
20RITI20028,1,28,1_28,487,1.533975911
20RITI20029,1,29,1_29,505,1.711164281
20RITI20030,1,30,1_30,523,1.622687691
20RITI20031,1,31,1_31,541,1.21178024
20RITI20032,1,32,1_32,559,1.673795906
20RITI20033,1,33,1_33,577,1.565953508
20RITI20034,1,34,1_34,595,1.686635308
20RITI20035,1,35,1_35,613,1.202541819
20RITI20036,1,36,1_36,631,1.204121542
20RITI20037,1,37,1_37,649,1.429946427
20RITI20038,1,38,1_38,667,1.547251679
20RITI20039,1,39,1_39,685,1.854363118
20RITI20040,1,40,1_40,703,1.732559666
20RITI20041,1,41,1_41,721,0.971314397
20RITI20042,1,42,1_42,739,1.699908755
20RITI20043,1,43,1_43,757,1.55401954
20RITI20044,1,44,1_44,775,1.537356819
20RITI20045,1,45,1_45,793,1.694287945
20RITI20046,1,46,1_46,811,1.103263518
20RITI20047,1,47,1_47,829,1.543423904
20RITI20048,1,48,1_48,847,1.687523081
20RITI20049,1,49,1_49,865,1.862251511
20RITI20050,1,50,1_50,883,1.850084127
20RITI20051,1,51,1_51,901,1.366021085
20RITI20052,1,52,1_52,919,2.3542114
20RITI20053,1,53,1_53,937,1.125761369
20RITI20054,1,54,1_54,955,2.354872261
20RITI20055,1,55,1_55,973,1.729862703
20RITI20056,1,56,1_56,991,1.929577425
20RITI20057,1,57,1_57,1009,1.309719677
20RITI20058,1,58,1_58,1027,1.947355547
20RITI20059,1,59,1_59,1045,1.86585012
20RITI20060,1,60,1_60,1063,1.448640899
20RITI20061,1,61,1_61,1081,0.841847571
20RITI20062,1,62,1_62,1099,1.982930528
20RITI20063,1,63,1_63,1117,1.472735732
20RITI20064,1,64,1_64,1135,1.35857462
20RITI20065,1,65,1_65,1153,1.358127374
20RITI20066,1,66,1_66,1171,1.706442543
20RITI20067,1,67,1_67,1189,1.857972619
20RITI20068,1,68,1_68,1207,1.9502857
20RITI20069,1,69,1_69,1225,1.816087704
20RITI20070,1,70,1_70,1243,1.722431312
20RITI20071,1,71,1_71,1261,1.558062132
20RITI20072,1,72,1_72,1279,1.929563474
20RITI20073,1,73,1_73,1297,1.466199198
20RITI20074,1,74,1_74,1315,1.685953986
20RITI20075,1,75,1_75,1333,1.700133879
20RITI20076,1,76,1_76,1351,1.759353432
20RITI20077,1,77,1_77,1369,1.784565815
20RITI20078,1,78,1_78,1387,1.746295721
20RITI20079,1,79,1_79,1405,1.948256955
20RITI20080,1,80,1_80,1423,2.080409754
20RITI20081,1,81,1_81,1441,1.58598383
20RITI20082,1,82,1_82,1459,1.772187161
20RITI20083,1,83,1_83,1477,1.540273266
20RITI20084,1,84,1_84,1495,2.02773811
20RITI20085,1,85,1_85,1513,1.827115819
20RITI20086,1,86,1_86,1531,1.629438536
20RITI20087,1,87,1_87,1549,1.955013158
20RITI20088,1,88,1_88,1567,1.764526561
20RITI20089,1,89,1_89,1585,1.869913067
20RITI20090,1,90,1_90,1603,1.826230273
20RITI20091,1,91,1_91,1621,1.967843685
20RITI20092,1,92,1_92,1639,2.114192087
20RITI20093,1,93,1_93,1657,1.775342148
20RITI20094,1,94,1_94,1675,1.75191437
20RITI20095,1,95,1_95,1693,1.854585949
20RITI20096,1,96,1_96,1711,1.642269812
20RITI20097,1,97,1_97,1729,1.844697956
20RITI20098,1,98,1_98,1747,1.660291288
20RITI20099,1,99,1_99,1765,1.929790313
20RITI20100,1,100,1_100,1783,2.062633864
20RITI20101,2,1,2_1,2,1.511009376
20RITI20102,2,2,2_2,20,1.653751844
20RITI20103,2,3,2_3,38,1.568643549
20RITI20104,2,4,2_4,56,1.767907909
20RITI20105,2,5,2_5,74,1.608278162
20RITI20106,2,6,2_6,92,1.436934387
20RITI20107,2,7,2_7,110,1.509434071
20RITI20108,2,8,2_8,128,1.58103312
20RITI20109,2,9,2_9,146,1.481291388
20RITI20110,2,10,2_10,164,1.432427624
20RITI20111,2,11,2_11,182,1.717257469
20RITI20112,2,12,2_12,200,1.172599079
20RITI20113,2,13,2_13,218,1.363300547
20RITI20114,2,14,2_14,236,1.155274336
20RITI20115,2,15,2_15,254,1.677178769
20RITI20116,2,16,2_16,272,1.570225461
20RITI20117,2,17,2_17,290,1.418475146
20RITI20118,2,18,2_18,308,1.391666485
20RITI20119,2,19,2_19,326,1.420049247
20RITI20120,2,20,2_20,344,1.423646119
20RITI20121,2,21,2_21,362,1.434237786
20RITI20122,2,22,2_22,380,1.548837513
20RITI20123,2,23,2_23,398,1.618403571
20RITI20124,2,24,2_24,416,1.058897825
20RITI20125,2,25,2_25,434,1.077127709
20RITI20126,2,26,2_26,452,1.84221906
20RITI20127,2,27,2_27,470,1.175756568
20RITI20128,2,28,2_28,488,1.267837546
20RITI20129,2,29,2_29,506,1.344172998
20RITI20130,2,30,2_30,524,1.292393914
20RITI20131,2,31,2_31,542,1.503577441
20RITI20132,2,32,2_32,560,1.115864999
20RITI20133,2,33,2_33,578,1.367586093
20RITI20134,2,34,2_34,596,1.33335937
20RITI20135,2,35,2_35,614,1.252750633
20RITI20136,2,36,2_36,632,1.075340462
20RITI20137,2,37,2_37,650,1.381326112
20RITI20138,2,38,2_38,668,1.289457812
20RITI20139,2,39,2_39,686,1.046737503
20RITI20140,2,40,2_40,704,1.693387755
20RITI20141,2,41,2_41,722,0.9136676
20RITI20142,2,42,2_42,740,1.553103702
20RITI20143,2,43,2_43,758,1.609175582
20RITI20144,2,44,2_44,776,1.169898648
20RITI20145,2,45,2_45,794,1.174847319
20RITI20146,2,46,2_46,812,1.459897546
20RITI20147,2,47,2_47,830,1.413285865
20RITI20148,2,48,2_48,848,1.662528775
20RITI20149,2,49,2_49,866,1.653302845
20RITI20150,2,50,2_50,884,1.927543531
20RITI20151,2,51,2_51,902,1.642722841
20RITI20152,2,52,2_52,920,2.0205352
20RITI20153,2,53,2_53,938,1.53623178
20RITI20154,2,54,2_54,956,1.687977265
20RITI20155,2,55,2_55,974,1.30859386
20RITI20156,2,56,2_56,992,1.604220425
20RITI20157,2,57,2_57,1010,0.817076439
20RITI20158,2,58,2_58,1028,1.563016357
20RITI20159,2,59,2_59,1046,1.574047514
20RITI20160,2,60,2_60,1064,1.678076997
20RITI20161,2,61,2_61,1082,1.350479492
20RITI20162,2,62,2_62,1100,1.496146924
20RITI20163,2,63,2_63,1118,1.591838803
20RITI20164,2,64,2_64,1136,1.55715511
20RITI20165,2,65,2_65,1154,0.808532553
20RITI20166,2,66,2_66,1172,1.675378768
20RITI20167,2,67,2_67,1190,1.345289889
20RITI20168,2,68,2_68,1208,2.083569679
20RITI20169,2,69,2_69,1226,1.433777763
20RITI20170,2,70,2_70,1244,1.222798767
20RITI20171,2,71,2_71,1262,1.627633434
20RITI20172,2,72,2_72,1280,1.873060146
20RITI20173,2,73,2_73,1298,1.409461454
20RITI20174,2,74,2_74,1316,1.688208785
20RITI20175,2,75,2_75,1334,1.640701845
20RITI20176,2,76,2_76,1352,1.746526151
20RITI20177,2,77,2_77,1370,1.554012478
20RITI20178,2,78,2_78,1388,1.818560862
20RITI20179,2,79,2_79,1406,1.302743279
20RITI20180,2,80,2_80,1424,1.733453142
20RITI20181,2,81,2_81,1442,1.328636271
20RITI20182,2,82,2_82,1460,1.639573744
20RITI20183,2,83,2_83,1478,1.69652292
20RITI20184,2,84,2_84,1496,1.620203078
20RITI20185,2,85,2_85,1514,1.413281864
20RITI20186,2,86,2_86,1532,1.188806757
20RITI20187,2,87,2_87,1550,1.297103347
20RITI20188,2,88,2_88,1568,1.67064034
20RITI20189,2,89,2_89,1586,1.522707798
20RITI20190,2,90,2_90,1604,1.890623739
20RITI20191,2,91,2_91,1622,1.773762611
20RITI20192,2,92,2_92,1640,1.864716966
20RITI20193,2,93,2_93,1658,1.691354041
20RITI20194,2,94,2_94,1676,1.39798205
20RITI20195,2,95,2_95,1694,1.737283711
20RITI20196,2,96,2_96,1712,1.87598166
20RITI20197,2,97,2_97,1730,1.841303484
20RITI20198,2,98,2_98,1748,1.554245446
20RITI20199,2,99,2_99,1766,1.932713923
20RITI20200,2,100,2_100,1784,1.873950121
20RITI20201,3,1,3_1,3,1.859767434
20RITI20202,3,2,3_2,21,1.852793835
20RITI20203,3,3,3_3,39,1.83523557
20RITI20204,3,4,3_4,57,1.814297409
20RITI20205,3,5,3_5,75,1.846482529
20RITI20206,3,6,3_6,93,1.308148148
20RITI20207,3,7,3_7,111,1.540055201
20RITI20208,3,8,3_8,129,1.837475812
20RITI20209,3,9,3_9,147,1.582826878
20RITI20210,3,10,3_10,165,1.843329243
20RITI20211,3,11,3_11,183,1.667489915
20RITI20212,3,12,3_12,201,1.522725498
20RITI20213,3,13,3_13,219,1.50605267
20RITI20214,3,14,3_14,237,1.469352356
20RITI20215,3,15,3_15,255,1.674467527
20RITI20216,3,16,3_16,273,1.591610247
20RITI20217,3,17,3_17,291,1.581031501
20RITI20218,3,18,3_18,309,1.533068669
20RITI20219,3,19,3_19,327,0.994959441
20RITI20220,3,20,3_20,345,1.452251673
20RITI20221,3,21,3_21,363,1.909538852
20RITI20222,3,22,3_22,381,1.591846093
20RITI20223,3,23,3_23,399,1.609407201
20RITI20224,3,24,3_24,417,1.336064015
20RITI20225,3,25,3_25,435,1.413296143
20RITI20226,3,26,3_26,453,1.788623531
20RITI20227,3,27,3_27,471,1.656687472
20RITI20228,3,28,3_28,489,1.83230236
20RITI20229,3,29,3_29,507,1.298010277
20RITI20230,3,30,3_30,525,1.777808654
20RITI20231,3,31,3_31,543,1.674232949
20RITI20232,3,32,3_32,561,1.672001926
20RITI20233,3,33,3_33,579,1.925748681
20RITI20234,3,34,3_34,597,2.1830882
20RITI20235,3,35,3_35,615,1.640242526
20RITI20236,3,36,3_36,633,1.600178027
20RITI20237,3,37,3_37,651,1.396851408
20RITI20238,3,38,3_38,669,2.044858396
20RITI20239,3,39,3_39,687,1.876207787
20RITI20240,3,40,3_40,705,1.741114182
20RITI20241,3,41,3_41,723,1.853027585
20RITI20242,3,42,3_42,741,1.277517221
20RITI20243,3,43,3_43,759,1.808663649
20RITI20244,3,44,3_44,777,1.381998081
20RITI20245,3,45,3_45,795,1.633040787
20RITI20246,3,46,3_46,813,2.096175204
20RITI20247,3,47,3_47,831,1.045164907
20RITI20248,3,48,3_48,849,1.848061712
20RITI20249,3,49,3_49,867,2.057244799
20RITI20250,3,50,3_50,885,1.497950687
20RITI20251,3,51,3_51,903,1.866514007
20RITI20252,3,52,3_52,921,2.187590385
20RITI20253,3,53,3_53,939,2.116894708
20RITI20254,3,54,3_54,957,2.125220539
20RITI20255,3,55,3_55,975,1.939696443
20RITI20256,3,56,3_56,993,1.824422163
20RITI20257,3,57,3_57,1011,1.614574268
20RITI20258,3,58,3_58,1029,2.153374689
20RITI20259,3,59,3_59,1047,2.009727674
20RITI20260,3,60,3_60,1065,2.100907697
20RITI20261,3,61,3_61,1083,1.759338758
20RITI20262,3,62,3_62,1101,2.001163066
20RITI20263,3,63,3_63,1119,1.772189017
20RITI20264,3,64,3_64,1137,1.837485165
20RITI20265,3,65,3_65,1155,1.762720663
20RITI20266,3,66,3_66,1173,1.941268287
20RITI20267,3,67,3_67,1191,1.65758943
20RITI20268,3,68,3_68,1209,2.108117235
20RITI20269,3,69,3_69,1227,2.140316273
20RITI20270,3,70,3_70,1245,2.092586251
20RITI20271,3,71,3_71,1263,1.908623758
20RITI20272,3,72,3_72,1281,1.941265639
