plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.301397235
20RITI20101,2,1,2_1,2,1.338995203
20RITI20201,3,1,3_1,3,1.349570844
20RITI20301,4,1,4_1,4,1.088393339
20RITI20401,5,1,5_1,5,1.281123957
20RITI20501,6,1,6_1,6,1.314899166
20RITI20601,7,1,7_1,7,1.63372287
20RITI20701,8,1,8_1,8,1.94846391
20RITI20801,9,1,9_1,9,1.664113721
20RITI20901,10,1,10_1,10,1.321429797
20RITI21001,11,1,11_1,11,1.456961508
20RITI21101,12,1,12_1,12,1.412627711
20RITI21201,13,1,13_1,13,1.379755307
20RITI21301,14,1,14_1,14,1.156846123
20RITI21401,15,1,15_1,15,1.447298241
20RITI21501,16,1,16_1,16,1.157967731
20RITI21601,17,1,17_1,17,1.297339637
20RITI21701,18,1,18_1,18,1.316479195
20RITI20002,1,2,1_2,19,1.289004661
20RITI20102,2,2,2_2,20,1.141083805
20RITI20202,3,2,3_2,21,1.455842231
20RITI20302,4,2,4_2,22,1.289460218
20RITI20402,5,2,5_2,23,1.362403668
20RITI20502,6,2,6_2,24,1.184537945
20RITI20602,7,2,7_2,25,1.293951967
20RITI20702,8,2,8_2,26,1.112710837
20RITI20802,9,2,9_2,27,1.405633328
20RITI20902,10,2,10_2,28,1.187013306
20RITI21002,11,2,11_2,29,1.362624434
20RITI21102,12,2,12_2,30,1.581697576
20RITI21202,13,2,13_2,31,1.318288165
20RITI21302,14,2,14_2,32,0.965011451
20RITI21402,15,2,15_2,33,1.1849809
20RITI21502,16,2,16_2,34,1.307016861
20RITI21602,17,2,17_2,35,1.228223266
20RITI21702,18,2,18_2,36,1.121930954
20RITI20003,1,3,1_3,37,1.414421317
20RITI20103,2,3,2_3,38,1.252530605
20RITI20203,3,3,3_3,39,1.432660518
20RITI20303,4,3,4_3,40,1.348444627
20RITI20403,5,3,5_3,41,1.267625732
20RITI20503,6,3,6_3,42,1.210425209
20RITI20603,7,3,7_3,43,1.397529419
20RITI20703,8,3,8_3,44,1.07421014
20RITI20803,9,3,9_3,45,1.300273139
20RITI20903,10,3,10_3,46,1.222158081
20RITI21003,11,3,11_3,47,1.290139054
20RITI21103,12,3,12_3,48,1.243744523
20RITI21203,13,3,13_3,49,1.318291361
20RITI21303,14,3,14_3,50,1.081415379
20RITI21403,15,3,15_3,51,1.337413051
20RITI21503,16,3,16_3,52,1.216497533
20RITI21603,17,3,17_3,53,1.084804215
20RITI21703,18,3,18_3,54,0.765523958
20RITI20004,1,4,1_4,55,1.071062893
20RITI20104,2,4,2_4,56,1.087046396
20RITI20204,3,4,3_4,57,1.294859913
20RITI20304,4,4,4_4,58,1.153457864
20RITI20404,5,4,5_4,59,1.276852972
20RITI20504,6,4,6_4,60,0.993380976
20RITI20604,7,4,7_4,61,1.356544715
20RITI20704,8,4,8_4,62,1.338547242
20RITI20804,9,4,9_4,63,1.369167378
20RITI20904,10,4,10_4,64,1.269194435
20RITI21004,11,4,11_4,65,1.202551128
20RITI21104,12,4,12_4,66,1.394832725
20RITI21204,13,4,13_4,67,1.44975689
20RITI21304,14,4,14_4,68,1.119916825
20RITI21404,15,4,15_4,69,1.188139294
20RITI21504,16,4,16_4,70,1.169455514
20RITI21604,17,4,17_4,71,1.236097906
20RITI21704,18,4,18_4,72,1.018815697
20RITI20005,1,5,1_5,73,1.1793527
20RITI20105,2,5,2_5,74,1.138378646
20RITI20205,3,5,3_5,75,1.507633986
20RITI20305,4,5,4_5,76,1.111131276
20RITI20405,5,5,5_5,77,1.25613902
20RITI20505,6,5,6_5,78,1.069258036
20RITI20605,7,5,7_5,79,1.642500838
20RITI20705,8,5,8_5,80,1.077133093
20RITI20805,9,5,9_5,81,1.422520658
20RITI20905,10,5,10_5,82,1.142416582
20RITI21005,11,5,11_5,83,1.33247196
20RITI21105,12,5,12_5,84,1.099654141
20RITI21205,13,5,13_5,85,1.37479398
20RITI21305,14,5,14_5,86,1.198264892
20RITI21405,15,5,15_5,87,1.176877787
20RITI21505,16,5,16_5,88,1.182733493
20RITI21605,17,5,17_5,89,1.079382564
20RITI21705,18,5,18_5,90,1.114965226
20RITI20006,1,6,1_6,91,1.281138478
20RITI20106,2,6,2_6,92,1.209518024
20RITI20206,3,6,3_6,93,1.245107164
20RITI20306,4,6,4_6,94,1.367365768
20RITI20406,5,6,5_6,95,1.598146941
20RITI20506,6,6,6_6,96,1.148048868
20RITI20606,7,6,7_6,97,1.476785401
20RITI20706,8,6,8_6,98,1.419365274
20RITI20806,9,6,9_6,99,1.390097237
20RITI20906,10,6,10_6,100,1.199396891
20RITI21006,11,6,11_6,101,1.114972264
20RITI21106,12,6,12_6,102,1.137029256
20RITI21206,13,6,13_6,103,1.156385773
20RITI21306,14,6,14_6,104,1.095830811
20RITI21406,15,6,15_6,105,1.225048934
20RITI21506,16,6,16_6,106,1.039080439
20RITI21606,17,6,17_6,107,1.063854126
20RITI21706,18,6,18_6,108,1.17756845
20RITI20007,1,7,1_7,109,1.107532461
20RITI20107,2,7,2_7,110,1.08974383
20RITI20207,3,7,3_7,111,1.279997579
20RITI20307,4,7,4_7,112,1.235876172
20RITI20407,5,7,5_7,113,1.267843591
20RITI20507,6,7,6_7,114,0.951503773
20RITI20607,7,7,7_7,115,1.585991935
20RITI20707,8,7,8_7,116,1.225956751
20RITI20807,9,7,9_7,117,1.484215634
20RITI20907,10,7,10_7,118,0.997198878
20RITI21007,11,7,11_7,119,1.324352209
20RITI21107,12,7,12_7,120,1.11428018
20RITI21207,13,7,13_7,121,1.166521083
20RITI21307,14,7,14_7,122,1.028503368
20RITI21407,15,7,15_7,123,1.0760138
20RITI21507,16,7,16_7,124,0.974255322
20RITI21607,17,7,17_7,125,1.081852633
20RITI21707,18,7,18_7,126,1.234509303
20RITI20008,1,8,1_8,127,1.071052862
