plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.841979064
20RITI20101,2,1,2_1,2,1.714549808
20RITI20201,3,1,3_1,3,1.816303497
20RITI20301,4,1,4_1,4,1.774437254
20RITI20401,5,1,5_1,5,1.969639854
20RITI20501,6,1,6_1,6,1.933621773
20RITI20601,7,1,7_1,7,2.193666523
20RITI20701,8,1,8_1,8,2.005664044
20RITI20801,9,1,9_1,9,2.14887256
20RITI20901,10,1,10_1,10,1.914481311
20RITI21001,11,1,11_1,11,2.21957582
20RITI21101,12,1,12_1,12,2.202223692
20RITI21201,13,1,13_1,13,2.363897333
20RITI21301,14,1,14_1,14,2.190979329
20RITI21401,15,1,15_1,15,2.20808166
20RITI21501,16,1,16_1,16,2.111494656
20RITI21601,17,1,17_1,17,2.195246331
20RITI21701,18,1,18_1,18,2.270679049
20RITI20002,1,2,1_2,19,2.143468442
20RITI20102,2,2,2_2,20,1.92574031
20RITI20202,3,2,3_2,21,2.076823117
20RITI20302,4,2,4_2,22,1.955467673
20RITI20402,5,2,5_2,23,2.162836458
20RITI20502,6,2,6_2,24,1.743148949
20RITI20602,7,2,7_2,25,2.129719866
20RITI20702,8,2,8_2,26,1.859778125
20RITI20802,9,2,9_2,27,2.073892768
20RITI20902,10,2,10_2,28,1.882068063
20RITI21002,11,2,11_2,29,2.16710712
20RITI21102,12,2,12_2,30,2.185123405
20RITI21202,13,2,13_2,31,2.259191146
20RITI21302,14,2,14_2,32,1.889263171
20RITI21402,15,2,15_2,33,2.074119637
20RITI21502,16,2,16_2,34,2.218907681
20RITI21602,17,2,17_2,35,2.313907695
20RITI21702,18,2,18_2,36,2.242076786
20RITI20003,1,3,1_3,37,2.166879241
20RITI20103,2,3,2_3,38,1.885217655
20RITI20203,3,3,3_3,39,2.062858768
20RITI20303,4,3,4_3,40,1.862021285
20RITI20403,5,3,5_3,41,2.010848376
20RITI20503,6,3,6_3,42,2.052053613
20RITI20603,7,3,7_3,43,2.134460469
20RITI20703,8,3,8_3,44,2.002065113
20RITI20803,9,3,9_3,45,2.378762118
20RITI20903,10,3,10_3,46,2.174975778
20RITI21003,11,3,11_3,47,2.238485032
20RITI21103,12,3,12_3,48,1.830950434
20RITI21203,13,3,13_3,49,2.10946885
20RITI21303,14,3,14_3,50,2.038778023
20RITI21403,15,3,15_3,51,2.192763252
20RITI21503,16,3,16_3,52,2.270227158
20RITI21603,17,3,17_3,53,2.263024456
20RITI21703,18,3,18_3,54,1.969870268
20RITI20004,1,4,1_4,55,2.124548692
20RITI20104,2,4,2_4,56,1.912908579
20RITI20204,3,4,3_4,57,2.079976706
