plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,1.912678047
20RITI20002,1,2,1_2,19,2.263254438
20RITI20003,1,3,1_3,37,2.54311676
20RITI20004,1,4,1_4,55,2.308727446
20RITI20005,1,5,1_5,73,1.944880017
20RITI20006,1,6,1_6,91,1.724007875
20RITI20007,1,7,1_7,109,2.221817491
20RITI20008,1,8,1_8,127,2.292742618
20RITI20009,1,9,1_9,145,1.948034847
20RITI20010,1,10,1_10,163,2.44765293
20RITI20011,1,11,1_11,181,2.426486013
20RITI20012,1,12,1_12,199,2.271127394
20RITI20013,1,13,1_13,217,1.711844981
20RITI20014,1,14,1_14,235,1.689106479
20RITI20015,1,15,1_15,253,2.016029628
20RITI20016,1,16,1_16,271,1.908181781
20RITI20017,1,17,1_17,289,1.701482782
20RITI20018,1,18,1_18,307,1.950285731
20RITI20019,1,19,1_19,325,1.583506139
20RITI20020,1,20,1_20,343,2.011975358
20RITI20021,1,21,1_21,361,2.279455494
20RITI20022,1,22,1_22,379,1.908179193
20RITI20023,1,23,1_23,397,1.907274181
20RITI20024,1,24,1_24,415,1.974816363
20RITI20025,1,25,1_25,433,1.873050952
20RITI20026,1,26,1_26,451,2.125898377
20RITI20027,1,27,1_27,469,1.61706438
20RITI20028,1,28,1_28,487,2.000494274
20RITI20029,1,29,1_29,505,1.776686886
20RITI20030,1,30,1_30,523,1.603324135
20RITI20031,1,31,1_31,541,1.492771195
20RITI20032,1,32,1_32,559,2.436608945
20RITI20033,1,33,1_33,577,2.032690325
20RITI20034,1,34,1_34,595,2.485923293
20RITI20035,1,35,1_35,613,2.136035855
20RITI20036,1,36,1_36,631,1.678747669
20RITI20037,1,37,1_37,649,1.471376925
20RITI20038,1,38,1_38,667,1.593185444
20RITI20039,1,39,1_39,685,2.167328291
20RITI20040,1,40,1_40,703,2.195476601
20RITI20041,1,41,1_41,721,1.819239409
20RITI20042,1,42,1_42,739,1.873731456
20RITI20043,1,43,1_43,757,1.599939063
20RITI20044,1,44,1_44,775,2.027960007
20RITI20045,1,45,1_45,793,2.286438854
20RITI20046,1,46,1_46,811,1.702384696
20RITI20047,1,47,1_47,829,1.936999045
20RITI20048,1,48,1_48,847,1.760260605
