plant_id,Row,Range,Row_Range,id,area
20RITI20001,1,1,1_1,1,2.289587567
20RITI20002,1,2,1_2,19,2.205608911
20RITI20003,1,3,1_3,37,2.281705325
20RITI20004,1,4,1_4,55,1.87779466
20RITI20005,1,5,1_5,73,2.207176057
20RITI20006,1,6,1_6,91,1.644530328
20RITI20007,1,7,1_7,109,2.01535032
20RITI20008,1,8,1_8,127,1.932953918
20RITI20009,1,9,1_9,145,2.234197263
20RITI20010,1,10,1_10,163,1.963339423
20RITI20011,1,11,1_11,181,1.583278257
20RITI20012,1,12,1_12,199,1.914712156
20RITI20013,1,13,1_13,217,1.920345635
20RITI20014,1,14,1_14,235,2.136263645
20RITI20015,1,15,1_15,253,2.031787216
20RITI20016,1,16,1_16,271,1.793117418
20RITI20017,1,17,1_17,289,1.790882853
20RITI20018,1,18,1_18,307,1.528337049
20RITI20019,1,19,1_19,325,1.561430232
20RITI20020,1,20,1_20,343,1.884533521
20RITI20021,1,21,1_21,361,2.082448026
20RITI20022,1,22,1_22,379,1.837937708
20RITI20023,1,23,1_23,397,1.865395548
20RITI20024,1,24,1_24,415,2.05159754
20RITI20025,1,25,1_25,433,2.03943338
20RITI20026,1,26,1_26,451,1.971002888
20RITI20027,1,27,1_27,469,1.628086298
20RITI20028,1,28,1_28,487,2.118928424
20RITI20029,1,29,1_29,505,1.972114391
20RITI20030,1,30,1_30,523,1.710720588
20RITI20031,1,31,1_31,541,1.797625954
20RITI20032,1,32,1_32,559,2.192549861
20RITI20033,1,33,1_33,577,1.69135254
20RITI20034,1,34,1_34,595,1.991257978
20RITI20035,1,35,1_35,613,1.539585744
20RITI20036,1,36,1_36,631,1.356332952
20RITI20037,1,37,1_37,649,1.714998532
20RITI20038,1,38,1_38,667,1.930695032
20RITI20039,1,39,1_39,685,2.045079012
20RITI20040,1,40,1_40,703,2.054072097
20RITI20041,1,41,1_41,721,1.461247571
20RITI20042,1,42,1_42,739,1.55064035
20RITI20043,1,43,1_43,757,1.581256912
20RITI20044,1,44,1_44,775,1.594309087
20RITI20045,1,45,1_45,793,1.854817571
20RITI20046,1,46,1_46,811,1.524303116
20RITI20047,1,47,1_47,829,1.847838009
20RITI20048,1,48,1_48,847,1.798992965
20RITI20049,1,49,1_49,865,1.998238073
20RITI20050,1,50,1_50,883,2.105636238
20RITI20051,1,51,1_51,901,1.304537566
20RITI20052,1,52,1_52,919,2.256703636
20RITI20053,1,53,1_53,937,1.087481719
20RITI20054,1,54,1_54,955,2.199970521
20RITI20055,1,55,1_55,973,1.666365527
20RITI20056,1,56,1_56,991,2.08469887
20RITI20057,1,57,1_57,1009,1.698344792
20RITI20058,1,58,1_58,1027,2.08064185
20RITI20059,1,59,1_59,1045,1.935429348
20RITI20060,1,60,1_60,1063,1.745834734
20RITI20061,1,61,1_61,1081,1.239694529
20RITI20062,1,62,1_62,1099,1.857055699
20RITI20063,1,63,1_63,1117,1.259747003
20RITI20064,1,64,1_64,1135,1.570677577
20RITI20065,1,65,1_65,1153,1.812712759
20RITI20066,1,66,1_66,1171,1.83297905
20RITI20067,1,67,1_67,1189,1.834543935
20RITI20068,1,68,1_68,1207,1.773979305
20RITI20069,1,69,1_69,1225,1.853693712
20RITI20070,1,70,1_70,1243,1.778710534
20RITI20071,1,71,1_71,1261,1.485112072
20RITI20072,1,72,1_72,1279,1.714777978
20RITI20073,1,73,1_73,1297,1.253428811
20RITI20074,1,74,1_74,1315,1.40968251
20RITI20075,1,75,1_75,1333,1.676946092
20RITI20076,1,76,1_76,1351,1.606232691
20RITI20077,1,77,1_77,1369,1.622687505
20RITI20078,1,78,1_78,1387,1.634157657
20RITI20079,1,79,1_79,1405,1.785467258
20RITI20080,1,80,1_80,1423,1.78165421
20RITI20081,1,81,1_81,1441,1.361513184
20RITI20082,1,82,1_82,1459,1.383801568
20RITI20083,1,83,1_83,1477,0.912101305
20RITI20084,1,84,1_84,1495,1.581265489
20RITI20085,1,85,1_85,1513,1.482179462
20RITI20086,1,86,1_86,1531,1.405855617
20RITI20087,1,87,1_87,1549,1.892647639
20RITI20088,1,88,1_88,1567,1.423189272
20RITI20089,1,89,1_89,1585,1.47542697
20RITI20090,1,90,1_90,1603,0.929664343
20RITI20091,1,91,1_91,1621,1.062039462
20RITI20092,1,92,1_92,1639,1.595888469
20RITI20093,1,93,1_93,1657,1.398434814
20RITI20094,1,94,1_94,1675,1.645650346
20RITI20095,1,95,1_95,1693,1.609404735
20RITI20096,1,96,1_96,1711,1.636185473
20RITI20097,1,97,1_97,1729,1.270543665
20RITI20098,1,98,1_98,1747,1.311975291
20RITI20099,1,99,1_99,1765,1.553102846
20RITI20100,1,100,1_100,1783,1.671991672
20RITI20101,2,1,2_1,2,2.361177933
20RITI20102,2,2,2_2,20,2.582959067
20RITI20103,2,3,2_3,38,2.322692415
20RITI20104,2,4,2_4,56,1.750801791
20RITI20105,2,5,2_5,74,1.921457776
20RITI20106,2,6,2_6,92,1.637309318
20RITI20107,2,7,2_7,110,2.087170967
20RITI20108,2,8,2_8,128,2.365466558
20RITI20109,2,9,2_9,146,1.634168333
20RITI20110,2,10,2_10,164,1.633719668
20RITI20111,2,11,2_11,182,1.89917411
20RITI20112,2,12,2_12,200,2.200662751
20RITI20113,2,13,2_13,218,1.940165399
20RITI20114,2,14,2_14,236,2.399680302
20RITI20115,2,15,2_15,254,2.094155039
20RITI20116,2,16,2_16,272,1.996652844
20RITI20117,2,17,2_17,290,1.63057644
20RITI20118,2,18,2_18,308,1.635291493
20RITI20119,2,19,2_19,326,1.803924533
20RITI20120,2,20,2_20,344,2.200418568
20RITI20121,2,21,2_21,362,1.592512955
20RITI20122,2,22,2_22,380,2.172733225
20RITI20123,2,23,2_23,398,1.661178415
20RITI20124,2,24,2_24,416,1.500876956
20RITI20125,2,25,2_25,434,1.496359549
20RITI20126,2,26,2_26,452,2.002972782
20RITI20127,2,27,2_27,470,1.514163266
20RITI20128,2,28,2_28,488,1.609409022
20RITI20129,2,29,2_29,506,1.775561848
20RITI20130,2,30,2_30,524,1.574730125
20RITI20131,2,31,2_31,542,1.694511279
20RITI20132,2,32,2_32,560,1.995070277
20RITI20133,2,33,2_33,578,1.721977531
20RITI20134,2,34,2_34,596,1.671312958
20RITI20135,2,35,2_35,614,1.593855423
20RITI20136,2,36,2_36,632,1.519781573
20RITI20137,2,37,2_37,650,1.599042623
20RITI20138,2,38,2_38,668,1.651060697
20RITI20139,2,39,2_39,686,1.286077718
20RITI20140,2,40,2_40,704,2.429858311
20RITI20141,2,41,2_41,722,1.337876678
20RITI20142,2,42,2_42,740,1.318949356
20RITI20143,2,43,2_43,758,1.31399127
20RITI20144,2,44,2_44,776,1.242849954
20RITI20145,2,45,2_45,794,1.395278493
20RITI20146,2,46,2_46,812,1.525866762
20RITI20147,2,47,2_47,830,1.523391234
20RITI20148,2,48,2_48,848,1.631464794
20RITI20149,2,49,2_49,866,1.754846718
20RITI20150,2,50,2_50,884,2.022112227
20RITI20151,2,51,2_51,902,1.673338316
20RITI20152,2,52,2_52,920,2.140537098
20RITI20153,2,53,2_53,938,1.514842221
20RITI20154,2,54,2_54,956,1.605110277
20RITI20155,2,55,2_55,974,1.697431798
20RITI20156,2,56,2_56,992,1.861807495
20RITI20157,2,57,2_57,1010,1.320986746
20RITI20158,2,58,2_58,1028,2.177913663
20RITI20159,2,59,2_59,1046,1.48894941
20RITI20160,2,60,2_60,1064,1.871705435
20RITI20161,2,61,2_61,1082,1.454265723
20RITI20162,2,62,2_62,1100,1.6843675
20RITI20163,2,63,2_63,1118,1.521817641
20RITI20164,2,64,2_64,1136,1.73638555
20RITI20165,2,65,2_65,1154,1.139503685
20RITI20166,2,66,2_66,1172,1.771960105
