plant_id,Row,Range,Row_Range,id,area(m^2)
20RITI20001,1,1,1_1,1,1.928883696
20RITI20002,1,2,1_2,19,2.166432066
20RITI20003,1,3,1_3,37,2.332821845
20RITI20004,1,4,1_4,55,1.958388457
20RITI20005,1,5,1_5,73,2.28013187
20RITI20006,1,6,1_6,91,1.559638182
20RITI20007,1,7,1_7,109,1.896694397
20RITI20008,1,8,1_8,127,1.738409735
20RITI20009,1,9,1_9,145,2.039224897
20RITI20010,1,10,1_10,163,1.970773915
20RITI20011,1,11,1_11,181,1.880257603
20RITI20012,1,12,1_12,199,1.941050894
20RITI20013,1,13,1_13,217,1.723777665
20RITI20014,1,14,1_14,235,1.899626533
20RITI20015,1,15,1_15,253,2.028863205
20RITI20016,1,16,1_16,271,1.689104751
20RITI20017,1,17,1_17,289,1.754401258
20RITI20018,1,18,1_18,307,1.700137123
20RITI20019,1,19,1_19,325,1.497053169
20RITI20020,1,20,1_20,343,1.562108929
20RITI20021,1,21,1_21,361,2.145490384
20RITI20022,1,22,1_22,379,1.668842157
20RITI20023,1,23,1_23,397,1.865175584
20RITI20024,1,24,1_24,415,1.983155448
20RITI20025,1,25,1_25,433,1.585303591
20RITI20026,1,26,1_26,451,1.934298712
20RITI20027,1,27,1_27,469,1.497275989
20RITI20028,1,28,1_28,487,2.290262776
20RITI20029,1,29,1_29,505,1.874407601
20RITI20030,1,30,1_30,523,1.613677804
20RITI20031,1,31,1_31,541,1.294415758
20RITI20032,1,32,1_32,559,1.776684581
20RITI20033,1,33,1_33,577,1.514162684
20RITI20034,1,34,1_34,595,2.199077738
20RITI20035,1,35,1_35,613,1.653077579
20RITI20036,1,36,1_36,631,1.372084207
20RITI20037,1,37,1_37,649,1.42793349
20RITI20038,1,38,1_38,667,1.64519752
20RITI20039,1,39,1_39,685,2.337318863
20RITI20040,1,40,1_40,703,2.140299952
20RITI20041,1,41,1_41,721,1.538032103
20RITI20042,1,42,1_42,739,1.592294321
20RITI20043,1,43,1_43,757,1.54703351
20RITI20044,1,44,1_44,775,1.884537085
20RITI20045,1,45,1_45,793,2.092132255
20RITI20046,1,46,1_46,811,1.665686771
20RITI20047,1,47,1_47,829,1.87080636
20RITI20048,1,48,1_48,847,1.583056941
20RITI20049,1,49,1_49,865,2.161481856
20RITI20050,1,50,1_50,883,2.062181571
20RITI20051,1,51,1_51,901,1.128018424
20RITI20052,1,52,1_52,919,2.103837155
20RITI20053,1,53,1_53,937,0.602509792
20RITI20054,1,54,1_54,955,1.972800799
20RITI20055,1,55,1_55,973,1.589815723
20RITI20056,1,56,1_56,991,2.182642639
20RITI20057,1,57,1_57,1009,1.844910837
20RITI20058,1,58,1_58,1027,2.245235261
20RITI20059,1,59,1_59,1045,1.964469876
20RITI20060,1,60,1_60,1063,1.925066243
20RITI20061,1,61,1_61,1081,1.349122905
20RITI20062,1,62,1_62,1099,1.916954424
20RITI20063,1,63,1_63,1117,1.175529853
20RITI20064,1,64,1_64,1135,1.637095198
20RITI20065,1,65,1_65,1153,2.392935809
20RITI20066,1,66,1_66,1171,2.107434081
20RITI20067,1,67,1_67,1189,2.04191884
20RITI20068,1,68,1_68,1207,2.091902811
20RITI20069,1,69,1_69,1225,2.11554545
20RITI20070,1,70,1_70,1243,2.075916899
20RITI20071,1,71,1_71,1261,1.807986478
20RITI20072,1,72,1_72,1279,1.805960368
20RITI20073,1,73,1_73,1297,1.385142788
20RITI20074,1,74,1_74,1315,1.461698979
20RITI20075,1,75,1_75,1333,1.901423564
20RITI20076,1,76,1_76,1351,1.478361377
20RITI20077,1,77,1_77,1369,1.62043034
20RITI20078,1,78,1_78,1387,1.70418909
20RITI20079,1,79,1_79,1405,1.805731409
20RITI20080,1,80,1_80,1423,2.166884614
20RITI20081,1,81,1_81,1441,1.957264276
20RITI20082,1,82,1_82,1459,1.645415393
20RITI20083,1,83,1_83,1477,1.085913451
20RITI20084,1,84,1_84,1495,2.192319936
20RITI20085,1,85,1_85,1513,2.066914838
20RITI20086,1,86,1_86,1531,1.594091904
20RITI20087,1,87,1_87,1549,2.07051284
20RITI20088,1,88,1_88,1567,1.510558415
20RITI20089,1,89,1_89,1585,1.613905709
20RITI20090,1,90,1_90,1603,1.317146451
20RITI20091,1,91,1_91,1621,1.313773054
20RITI20092,1,92,1_92,1639,1.578101043
20RITI20093,1,93,1_93,1657,2.025257765
20RITI20094,1,94,1_94,1675,1.871253601
20RITI20095,1,95,1_95,1693,1.556487245
20RITI20096,1,96,1_96,1711,1.987202961
20RITI20097,1,97,1_97,1729,1.123524481
20RITI20098,1,98,1_98,1747,1.362178857
20RITI20099,1,99,1_99,1765,1.636643504
20RITI20100,1,100,1_100,1783,1.876665542
20RITI20101,2,1,2_1,2,1.684151989
20RITI20102,2,2,2_2,20,2.046646515
20RITI20103,2,3,2_3,38,2.041704014
20RITI20104,2,4,2_4,56,1.601749854
20RITI20105,2,5,2_5,74,1.829598495
20RITI20106,2,6,2_6,92,1.535774636
20RITI20107,2,7,2_7,110,1.604446844
20RITI20108,2,8,2_8,128,1.835457993
20RITI20109,2,9,2_9,146,1.721754241
20RITI20110,2,10,2_10,164,1.716350587
20RITI20111,2,11,2_11,182,2.135810449
20RITI20112,2,12,2_12,200,1.891522345
20RITI20113,2,13,2_13,218,1.502898741
20RITI20114,2,14,2_14,236,1.931815973
20RITI20115,2,15,2_15,254,2.044844417
20RITI20116,2,16,2_16,272,1.615938258
20RITI20117,2,17,2_17,290,1.598365086
20RITI20118,2,18,2_18,308,1.596801029
20RITI20119,2,19,2_19,326,1.323904865
20RITI20120,2,20,2_20,344,1.571575232
20RITI20121,2,21,2_21,362,1.343491749
20RITI20122,2,22,2_22,380,1.893094389
20RITI20123,2,23,2_23,398,1.271444434
20RITI20124,2,24,2_24,416,1.401362022
20RITI20125,2,25,2_25,434,1.306795282
20RITI20126,2,26,2_26,452,1.768813848
20RITI20127,2,27,2_27,470,1.361280156
20RITI20128,2,28,2_28,488,1.699686553
20RITI20129,2,29,2_29,506,1.462603891
20RITI20130,2,30,2_30,524,1.515512431
20RITI20131,2,31,2_31,542,1.529019326
20RITI20132,2,32,2_32,560,1.704641844
20RITI20133,2,33,2_33,578,1.338769044
20RITI20134,2,34,2_34,596,1.475206724
20RITI20135,2,35,2_35,614,1.572463652
20RITI20136,2,36,2_36,632,1.295310915
20RITI20137,2,37,2_37,650,1.510779169
20RITI20138,2,38,2_38,668,1.301844577
20RITI20139,2,39,2_39,686,1.016803504
20RITI20140,2,40,2_40,704,2.673702205
20RITI20141,2,41,2_41,722,1.314666574
20RITI20142,2,42,2_42,740,1.694287629
20RITI20143,2,43,2_43,758,1.276397626
20RITI20144,2,44,2_44,776,1.277077806
20RITI20145,2,45,2_45,794,1.489164505
20RITI20146,2,46,2_46,812,1.304312541
20RITI20147,2,47,2_47,830,1.264910053
20RITI20148,2,48,2_48,848,1.388519086
20RITI20149,2,49,2_49,866,1.403835183
20RITI20150,2,50,2_50,884,1.836807609
20RITI20151,2,51,2_51,902,1.369842061
20RITI20152,2,52,2_52,920,1.709148126
20RITI20153,2,53,2_53,938,1.368935305
20RITI20154,2,54,2_54,956,1.349795417
20RITI20155,2,55,2_55,974,1.7233213
20RITI20156,2,56,2_56,992,1.64767227
20RITI20157,2,57,2_57,1010,1.167646726
20RITI20158,2,58,2_58,1028,2.161478715
20RITI20159,2,59,2_59,1046,1.26581281
20RITI20160,2,60,2_60,1064,1.860901604
20RITI20161,2,61,2_61,1082,1.332004694
20RITI20162,2,62,2_62,1100,1.780067369
20RITI20163,2,63,2_63,1118,1.591841938
20RITI20164,2,64,2_64,1136,1.842885944
20RITI20165,2,65,2_65,1154,1.315801642
20RITI20166,2,66,2_66,1172,2.019623691
20RITI20167,2,67,2_67,1190,1.786366614
20RITI20168,2,68,2_68,1208,1.871029491
20RITI20169,2,69,2_69,1226,1.532847447
20RITI20170,2,70,2_70,1244,1.601739457
20RITI20171,2,71,2_71,1262,1.569993907
20RITI20172,2,72,2_72,1280,1.514383087
20RITI20173,2,73,2_73,1298,1.289230885
20RITI20174,2,74,2_74,1316,1.638217956
20RITI20175,2,75,2_75,1334,1.658018778
20RITI20176,2,76,2_76,1352,1.648583079
20RITI20177,2,77,2_77,1370,1.844461873
20RITI20178,2,78,2_78,1388,1.81676272
20RITI20179,2,79,2_79,1406,1.200521986
20RITI20180,2,80,2_80,1424,2.145260701
20RITI20181,2,81,2_81,1442,1.614801981
20RITI20182,2,82,2_82,1460,1.978878908
20RITI20183,2,83,2_83,1478,1.863597995
20RITI20184,2,84,2_84,1496,1.691805499
20RITI20185,2,85,2_85,1514,1.780510324
20RITI20186,2,86,2_86,1532,0.940015828
20RITI20187,2,87,2_87,1550,1.632138949
20RITI20188,2,88,2_88,1568,1.670189186
20RITI20189,2,89,2_89,1586,1.884993827
20RITI20190,2,90,2_90,1604,1.412836394
20RITI20191,2,91,2_91,1622,1.40699019
20RITI20192,2,92,2_92,1640,1.692486989
20RITI20193,2,93,2_93,1658,1.965148922
20RITI20194,2,94,2_94,1676,1.627180421
20RITI20195,2,95,2_95,1694,1.666363009
20RITI20196,2,96,2_96,1712,2.044400713
20RITI20197,2,97,2_97,1730,1.921465475
20RITI20198,2,98,2_98,1748,1.432428405
20RITI20199,2,99,2_99,1766,1.983158373
20RITI20200,2,100,2_100,1784,1.762728285
20RITI20201,3,1,3_1,3,1.632138325
20RITI20202,3,2,3_2,21,2.251993259
20RITI20203,3,3,3_3,39,2.342054366
20RITI20204,3,4,3_4,57,2.072994848
20RITI20205,3,5,3_5,75,2.104736572
20RITI20206,3,6,3_6,93,1.818789928
20RITI20207,3,7,3_7,111,2.125668915
20RITI20208,3,8,3_8,129,2.209886334
20RITI20209,3,9,3_9,147,1.875762047
20RITI20210,3,10,3_10,165,2.20740682
20RITI20211,3,11,3_11,183,1.989238707
20RITI20212,3,12,3_12,201,2.168003199
20RITI20213,3,13,3_13,219,1.956145189
20RITI20214,3,14,3_14,237,2.40441881
20RITI20215,3,15,3_15,255,2.080649542
20RITI20216,3,16,3_16,273,1.977526534
20RITI20217,3,17,3_17,291,1.839730862
20RITI20218,3,18,3_18,309,2.162604997
20RITI20219,3,19,3_19,327,1.836350031
20RITI20220,3,20,3_20,345,1.753048123
20RITI20221,3,21,3_21,363,2.285310956
20RITI20222,3,22,3_22,381,1.721078469
20RITI20223,3,23,3_23,399,1.242391712
20RITI20224,3,24,3_24,417,1.662764203
20RITI20225,3,25,3_25,435,1.835007786
20RITI20226,3,26,3_26,453,1.853699646
20RITI20227,3,27,3_27,471,2.107668245
20RITI20228,3,28,3_28,489,2.043267227
20RITI20229,3,29,3_29,507,1.372987049
20RITI20230,3,30,3_30,525,2.222713737
20RITI20231,3,31,3_31,543,1.712740824
20RITI20232,3,32,3_32,561,2.100914272
20RITI20233,3,33,3_33,579,1.889930882
20RITI20234,3,34,3_34,597,2.10743842
20RITI20235,3,35,3_35,615,1.922362188
20RITI20236,3,36,3_36,633,1.677620407
20RITI20237,3,37,3_37,651,1.471836253
20RITI20238,3,38,3_38,669,1.952530856
20RITI20239,3,39,3_39,687,1.824873709
20RITI20240,3,40,3_40,705,2.488626889
20RITI20241,3,41,3_41,723,1.82757541
20RITI20242,3,42,3_42,741,1.547478183
20RITI20243,3,43,3_43,759,1.51641187
20RITI20244,3,44,3_44,777,1.744719973
20RITI20245,3,45,3_45,795,1.76926619
20RITI20246,3,46,3_46,813,1.810011038
20RITI20247,3,47,3_47,831,1.203216138
20RITI20248,3,48,3_48,849,1.786140402
20RITI20249,3,49,3_49,867,2.03876914
20RITI20250,3,50,3_50,885,1.583738196
20RITI20251,3,51,3_51,903,1.896249846
20RITI20252,3,52,3_52,921,2.121624001
20RITI20253,3,53,3_53,939,2.250638267
20RITI20254,3,54,3_54,957,1.792223967
20RITI20255,3,55,3_55,975,2.186694345
20RITI20256,3,56,3_56,993,1.845582657
20RITI20257,3,57,3_57,1011,1.308147286
20RITI20258,3,58,3_58,1029,1.946452779
20RITI20259,3,59,3_59,1047,1.944878796
20RITI20260,3,60,3_60,1065,2.274730697
20RITI20261,3,61,3_61,1083,1.974153024
20RITI20262,3,62,3_62,1101,2.014226583
20RITI20263,3,63,3_63,1119,1.942401166
20RITI20264,3,64,3_64,1137,2.046421234
20RITI20265,3,65,3_65,1155,1.667937499
20RITI20266,3,66,3_66,1173,2.049796891
20RITI20267,3,67,3_67,1191,1.975722615
20RITI20268,3,68,3_68,1209,1.896248746
20RITI20269,3,69,3_69,1227,2.337098048
20RITI20270,3,70,3_70,1245,2.088533525
20RITI20271,3,71,3_71,1263,2.022783562
20RITI20272,3,72,3_72,1281,1.900750617
20RITI20273,3,73,3_73,1299,1.770831398
20RITI20274,3,74,3_74,1317,1.477234845
20RITI20275,3,75,3_75,1335,1.90322816
20RITI20276,3,76,3_76,1353,1.910657267
20RITI20277,3,77,3_77,1371,2.060830671
20RITI20278,3,78,3_78,1389,2.071189697
20RITI20279,3,79,3_79,1407,1.967157047
20RITI20280,3,80,3_80,1425,2.349026436
20RITI20281,3,81,3_81,1443,2.208983325
20RITI20282,3,82,3_82,1461,1.854592225
20RITI20283,3,83,3_83,1479,1.661401515
20RITI20284,3,84,3_84,1497,2.296126314
20RITI20285,3,85,3_85,1515,2.150443105
20RITI20286,3,86,3_86,1533,1.932713529
20RITI20287,3,87,3_87,1551,2.007469324
20RITI20288,3,88,3_88,1569,1.060024098
20RITI20289,3,89,3_89,1587,2.098882735
20RITI20290,3,90,3_90,1605,2.3053487
20RITI20291,3,91,3_91,1623,1.956357802
20RITI20292,3,92,3_92,1641,1.681223253
20RITI20293,3,93,3_93,1659,2.140087439
20RITI20294,3,94,3_94,1677,1.907731919
20RITI20295,3,95,3_95,1695,2.156966491
20RITI20296,3,96,3_96,1713,2.556172738
20RITI20297,3,97,3_97,1731,1.737511758
20RITI20298,3,98,3_98,1749,2.04529108
20RITI20299,3,99,3_99,1767,2.329893308
20RITI20300,3,100,3_100,1785,1.770609158
20RITI20301,4,1,4_1,4,1.598140173
20RITI20302,4,2,4_2,22,1.719047865
20RITI20303,4,3,4_3,40,1.764986124
20RITI20304,4,4,4_4,58,1.805510785
20RITI20305,4,5,4_5,76,1.748548601
20RITI20306,4,6,4_6,94,1.672213375
20RITI20307,4,7,4_7,112,1.69090896
20RITI20308,4,8,4_8,130,2.180841279
20RITI20309,4,9,4_9,148,1.875759635
20RITI20310,4,10,4_10,166,1.786817634
20RITI20311,4,11,4_11,184,1.778722926
20RITI20312,4,12,4_12,202,1.678965052
20RITI20313,4,13,4_13,220,1.782771879
20RITI20314,4,14,4_14,238,1.58666281
20RITI20315,4,15,4_15,256,1.881381767
20RITI20316,4,16,4_16,274,1.777591734
20RITI20317,4,17,4_17,292,1.749667028
20RITI20318,4,18,4_18,310,1.510556546
20RITI20319,4,19,4_19,328,1.69811357
20RITI20320,4,20,4_20,346,1.571570534
20RITI20321,4,21,4_21,364,1.688874684
20RITI20322,4,22,4_22,382,1.643166263
