fid,id,BI2022_05_13,SCI2022_05_13,GLI2022_05_13,HI2022_05_13,NGRDI2022_05_13,SI2022_05_13,VARI2022_05_13,HUE2022_05_13,BGI2022_05_13,PSRI2022_05_13,NDVI2022_05_13,GNDVI2022_05_13,RVI2022_05_13,NDRE2022_05_13,TVI2022_05_13,CVI2022_05_13,EVI2022_05_13,CIG2022_05_13,CIRE2022_05_13,DVI2022_05_13,GR2022_05_13,NGBDI2022_05_13,BGI22022_05_13,RGBVI2022_05_13,GRVI2022_05_13,EXG2022_05_13,MGRVI2022_05_13,GLA2022_05_13,IHS2022_05_13
"11","1620",2685.73681640625,0.0656792148947716,0.285898327827454,-0.685298383235931,0.251996576786041,0.0656792148947716,0.377025604248047,-1.5707927942276,0.493194907903671,-0.0555173978209496,0.594663858413696,0.408412486314774,3.93417596817017,-0.429932832717896,420996.96875,1.40592133998871,2.174476146698,1.3807338476181,-0.601332902908325,-12932.5859375,0.597448468208313,0.33940988779068,0.493194907903671,0.539519190788269,0.251996576786041,2996.9345703125,0.473899453878403,0.285898327827454,2533.10302734375
"12","1566",2512.26416015625,0.0260869935154915,0.321179986000061,-0.903643667697906,0.319025039672852,0.0260869935154915,0.473590731620789,-1.57079255580902,0.512183010578156,-0.0572789125144482,0.656666159629822,0.428989589214325,4.82523393630981,-0.464342594146729,433689.25,1.34121072292328,2.55327534675598,1.50256323814392,-0.634199380874634,-14553.92578125,0.516271471977234,0.322591245174408,0.512183010578156,0.588339149951935,0.319025039672852,2876.32250976562,0.579110026359558,0.321179986000061,2354.3779296875
"13","1781",3405.23364257812,0.130768626928329,0.177385345101357,-0.0523898154497147,0.111846268177032,0.130768626928329,0.170702621340752,-1.57079255580902,0.569699168205261,-0.0553512163460255,0.431575536727905,0.334722757339478,2.51849794387817,-0.277135819196701,335556.3125,1.55009782314301,1.3781875371933,1.0062655210495,-0.433995842933655,-6464.85546875,0.798809826374054,0.274129509925842,0.569699168205261,0.361206501722336,0.111846268177032,2493.712890625,0.220928803086281,0.177385345101357,3304.55249023438
"14","1656",2665.38232421875,0.000881792220752686,0.377071171998978,-0.996677875518799,0.378155291080475,0.000881792220752686,0.548169255256653,-1.57079386711121,0.455771803855896,-0.0703990608453751,0.703667283058167,0.438274711370468,5.74917030334473,-0.456759184598923,524537.625,1.17229974269867,2.79520034790039,1.56045913696289,-0.627089500427246,-16533.271484375,0.451215267181396,0.373841673135757,0.455771803855896,0.661387801170349,0.378155291080475,3761.09033203125,0.661688208580017,0.377071171998978,2467.74780273438
"15","1494",2546.10131835938,0.0299494694918394,0.298088371753693,-0.872291624546051,0.288061410188675,0.0299494694918394,0.43926665186882,-1.57079231739044,0.516670525074005,-0.0580438524484634,0.627319872379303,0.423459768295288,4.36653327941895,-0.438035309314728,412664.375,1.33890533447266,2.51054787635803,1.46896862983704,-0.609213531017303,-13145.296875,0.552720963954926,0.318677932024002,0.516670525074005,0.551364839076996,0.288061410188675,2703.07592773438,0.531979501247406,0.298088371753693,2399.21508789062
"16","1673",2673.10498046875,0.0429211296141148,0.334459364414215,-0.854707598686218,0.324170798063278,0.0429211296141148,0.476574569940567,-1.57079350948334,0.474564135074615,-0.0660320594906807,0.655627429485321,0.430595308542252,4.8076639175415,-0.420918762683868,469349.5625,1.27490282058716,2.41895508766174,1.51244044303894,-0.592460036277771,-12991.73828125,0.510379195213318,0.356333017349243,0.474564135074615,0.605989933013916,0.324170798063278,3311.97290039062,0.586688458919525,0.334459364414215,2489.41552734375
"17","1655",2669.65991210938,0.0226486138999462,0.305585980415344,-0.906216263771057,0.304808795452118,0.0226486138999462,0.463631391525269,-1.57079327106476,0.518843054771423,-0.0637149214744568,0.646043419837952,0.432571023702621,4.65041065216064,-0.414008945226669,458532.53125,1.30350589752197,2.59111547470093,1.52467024326324,-0.58558177947998,-12398.6064453125,0.532791614532471,0.316791772842407,0.518843054771423,0.562459945678711,0.304808795452118,3115.33764648438,0.557793855667114,0.305585980415344,2526.77465820312
"18","1602",2639.482421875,0.0365650318562984,0.341382920742035,-0.859196782112122,0.327997773885727,0.0365650318562984,0.479111164808273,-1.57079350948334,0.48106974363327,-0.0661232993006706,0.660637378692627,0.428786844015121,4.8934006690979,-0.429988265037537,485874.40625,1.28514504432678,2.48148584365845,1.50131988525391,-0.601387083530426,-13652.46484375,0.50602662563324,0.350375294685364,0.48106974363327,0.613465666770935,0.327997773885727,3404.83471679688,0.592276871204376,0.341382920742035,2467.51806640625
"19","1584",2616.31518554688,0.0540128573775291,0.290803700685501,-0.748293459415436,0.260064572095871,0.0540128573775291,0.389585971832275,-1.57079255580902,0.494363576173782,-0.0589283667504787,0.604019105434418,0.413163393735886,4.05075025558472,-0.421370178461075,405677.65625,1.37063992023468,2.31093168258667,1.40810358524323,-0.592907011508942,-11688.1181640625,0.587220251560211,0.338362365961075,0.494363576173782,0.541965663433075,0.260064572095871,2817.19750976562,0.487179458141327,0.290803700685501,2468.94897460938
"20","1798",2516.1083984375,0.0587846226990223,0.310395836830139,-0.770844161510468,0.287753701210022,0.0587846226990223,0.424941420555115,-1.57079303264618,0.498374283313751,-0.0607329644262791,0.626443386077881,0.421250075101852,4.35394096374512,-0.42416325211525,433582.125,1.34748578071594,2.29087829589844,1.45572400093079,-0.595666587352753,-12130.2138671875,0.553092002868652,0.33477994799614,0.498374283313751,0.569768369197845,0.287753701210022,3062.11401367188,0.531498193740845,0.310395836830139,2373.63232421875
