fid,id,BI2023_05_03,SCI2023_05_03,GLI2023_05_03,HI2023_05_03,NGRDI2023_05_03,SI2023_05_03,VARI2023_05_03,HUE2023_05_03,BGI2023_05_03,PSRI2023_05_03,NDVI2023_05_03,GNDVI2023_05_03,RVI2023_05_03,NDRE2023_05_03,TVI2023_05_03,CVI2023_05_03,EVI2023_05_03,CIG2023_05_03,CIRE2023_05_03,DVI2023_05_03,GR2023_05_03,NGBDI2023_05_03,BGI22023_05_03,RGBVI2023_05_03,GRVI2023_05_03,EXG2023_05_03,MGRVI2023_05_03,GLA2023_05_03,IHS2023_05_03
"1","1800",1596.73291015625,0.171002879738808,0.211710572242737,-0.0473882630467415,0.137863144278526,0.171002879738808,0.200001507997513,-1.57078111171722,0.531268954277039,-0.100236728787422,0.699972689151764,0.611427009105682,5.6660590171814,0.278842568397522,438838.125,3.02785968780518,1.85418498516083,3.14703822135925,0.773319602012634,3737.8525390625,0.757680654525757,0.306106239557266,0.531268954277039,0.42153462767601,0.137863144278526,1346.62731933594,0.270583480596542,0.211710572242737,1522.02575683594
"2","1746",1504.68603515625,0.129840686917305,0.223714917898178,-0.276862263679504,0.168738186359406,0.129840686917305,0.248036310076714,-1.57078051567078,0.543825387954712,-0.11221843957901,0.737724721431732,0.636570155620575,6.62557649612427,0.303132385015488,472947.21875,3.16128921508789,2.07568192481995,3.50312566757202,0.869985520839691,4138.435546875,0.711247265338898,0.295483261346817,0.543825387954712,0.438080668449402,0.168738186359406,1325.91149902344,0.328133583068848,0.223714917898178,1439.30786132812
"3","1782",1721.880859375,0.160470485687256,0.186532154679298,0.040679082274437,0.110771261155605,0.160470485687256,0.164141535758972,-1.57078158855438,0.563326418399811,-0.0879089459776878,0.660141468048096,0.577339172363281,4.88480186462402,0.250208705663681,399782.1875,2.87201952934265,1.78330421447754,2.73192667961121,0.667408883571625,3189.66357421875,0.800550699234009,0.279323369264603,0.563326418399811,0.378628194332123,0.110771261155605,1337.09350585938,0.2188570946455,0.186532154679298,1649.32080078125
"4","1764",1587.927734375,0.126324817538261,0.198792397975922,-0.229155659675598,0.146629244089127,0.126324817538261,0.219079211354256,-1.57078075408936,0.567846179008484,-0.103867031633854,0.715151131153107,0.621333837509155,6.02127027511597,0.293467968702316,461403.875,3.12300944328308,2.05130577087402,3.28169703483582,0.830728054046631,3979.74584960938,0.744242966175079,0.275635331869125,0.567846179008484,0.393289268016815,0.146629244089127,1303.09851074219,0.287086099386215,0.198792397975922,1526.58374023438
"5","1728",1528.80908203125,0.105916611850262,0.23520915210247,-0.44239553809166,0.190283179283142,0.105916611850262,0.28370127081871,-1.5707825422287,0.537590146064758,-0.12524838745594,0.747511625289917,0.642696499824524,6.92115926742554,0.310191839933395,490950.96875,3.08920741081238,2.17936134338379,3.59748220443726,0.89935690164566,4320.28515625,0.680272400379181,0.300736725330353,0.537590146064758,0.456544071435928,0.190283179283142,1420.05126953125,0.367268413305283,0.23520915210247,1466.38842773438
"6","1710",1474.64013671875,0.147380203008652,0.214781895279884,-0.180449947714806,0.153061270713806,0.147380203008652,0.222660228610039,-1.57077968120575,0.543802261352539,-0.102380283176899,0.734759867191315,0.63465404510498,6.54033756256104,0.292349070310593,465550.65625,3.19401335716248,2.01301503181458,3.4742636680603,0.826252162456512,4007.546875,0.734513223171234,0.295502692461014,0.543802261352539,0.426401108503342,0.153061270713806,1294.89477539062,0.299114942550659,0.214781895279884,1402.68688964844
"7","1692",1497.71838378906,0.10666997730732,0.245491623878479,-0.443176805973053,0.201875910162926,0.10666997730732,0.299194097518921,-1.57078337669373,0.534938633441925,-0.129947781562805,0.767311155796051,0.653912901878357,7.5951681137085,0.320355504751205,530433.0625,3.07087111473083,2.19381141662598,3.77889180183411,0.942714989185333,4777.6328125,0.664065301418304,0.302983701229095,0.534938633441925,0.472020745277405,0.201875910162926,1465.37048339844,0.387941688299179,0.245491623878479,1417.05004882812
"8","1656",1581.54821777344,0.138649806380272,0.255062103271484,-0.351866573095322,0.197627276182175,0.138649806380272,0.285351395606995,-1.57078528404236,0.506975829601288,-0.130334943532944,0.753284454345703,0.63886970281601,7.10650157928467,0.30334460735321,521890.625,2.91387152671814,2.0670325756073,3.53816771507263,0.870859861373901,4526.5224609375,0.669968664646149,0.327161282300949,0.506975829601288,0.491815239191055,0.197627276182175,1608.86145019531,0.380397528409958,0.255062103271484,1491.25549316406
"9","1674",1598.28857421875,0.128953903913498,0.248195022344589,-0.380956202745438,0.194021046161652,0.128953903913498,0.285810053348541,-1.57078421115875,0.523321986198425,-0.127078831195831,0.75155234336853,0.63430380821228,7.04998588562012,0.307051986455917,509687.28125,2.96139240264893,2.12490105628967,3.46902132034302,0.886219382286072,4427.25244140625,0.675012350082397,0.312920033931732,0.523321986198425,0.479343056678772,0.194021046161652,1541.43823242188,0.37396451830864,0.248195022344589,1508.38647460938
"10","1799",1850.48132324219,0.183656886219978,0.15677447617054,0.342233747243881,0.0719119012355804,0.183656886219978,0.104931607842445,-1.57077312469482,0.579017817974091,-0.0594054162502289,0.606787204742432,0.560841023921967,4.08630514144897,0.241913244128227,357851.84375,3.01116180419922,1.59049081802368,2.55416178703308,0.638220429420471,2993.884765625,0.865824937820435,0.266610145568848,0.579017817974091,0.327839940786362,0.0719119012355804,1131.52075195312,0.143083870410919,0.15677447617054,1790.63684082031
