fid,id,BI2023_05_19,SCI2023_05_19,GLI2023_05_19,HI2023_05_19,NGRDI2023_05_19,SI2023_05_19,VARI2023_05_19,HUE2023_05_19,BGI2023_05_19,PSRI2023_05_19,NDVI2023_05_19,GNDVI2023_05_19,RVI2023_05_19,NDRE2023_05_19,TVI2023_05_19,CVI2023_05_19,EVI2023_05_19,CIG2023_05_19,CIRE2023_05_19,DVI2023_05_19,GR2023_05_19,NGBDI2023_05_19,BGI22023_05_19,RGBVI2023_05_19,GRVI2023_05_19,EXG2023_05_19,MGRVI2023_05_19,GLA2023_05_19,IHS2023_05_19
"1","1800",1231.92883300781,0.0874558240175247,0.281880170106888,-0.648389935493469,0.255343079566956,0.0874558240175247,0.378162950277328,-1.57076930999756,0.517217934131622,-0.139627546072006,0.823875725269318,0.709003448486328,10.3556203842163,0.416572600603104,557180.6875,3.40924143791199,2.3607063293457,4.87293434143066,1.42801868915558,5929.15234375,0.593190014362335,0.31820222735405,0.517217934131622,0.534908592700958,0.255343079566956,1187.05383300781,0.479427456855774,0.281880170106888,1145.89477539062
"2","1782",1259.1796875,0.112725995481014,0.283433318138123,-0.567803859710693,0.250782191753387,0.112725995481014,0.367503315210342,-1.57077634334564,0.499447643756866,-0.14237767457962,0.823337614536285,0.706554055213928,10.3210325241089,0.40369439125061,565583.5,3.40037751197815,2.29156231880188,4.81556558609009,1.35398495197296,5806.677734375,0.598999440670013,0.33382448554039,0.499447643756866,0.542428076267242,0.250782191753387,1317.88317871094,0.471886605024338,0.283433318138123,1168.01525878906
"3","1764",1377.34387207031,0.127033323049545,0.254893392324448,-0.453157126903534,0.213718742132187,0.127033323049545,0.315331637859344,-1.57077252864838,0.529670476913452,-0.126182183623314,0.8040971159935,0.698513388633728,9.20913791656494,0.40383306145668,567560.8125,3.58940529823303,2.22643375396729,4.63379383087158,1.35476505756378,6028.44873046875,0.647828221321106,0.307471126317978,0.529670476913452,0.494671434164047,0.213718742132187,1207.59521484375,0.408766776323318,0.254893392324448,1302.87377929688
"4","1746",1339.43872070312,0.0993494987487793,0.273539751768112,-0.610282421112061,0.240692928433418,0.0993494987487793,0.356212079524994,-1.57077515125275,0.51795881986618,-0.138679966330528,0.815029740333557,0.693576037883759,9.81255149841309,0.391112446784973,538386.875,3.33481121063232,2.31345510482788,4.52690744400024,1.28467869758606,5559.32373046875,0.612002372741699,0.317558795213699,0.51795881986618,0.525361180305481,0.240692928433418,1282.77746582031,0.455024898052216,0.273539751768112,1240.52233886719
"5","1728",1170.48083496094,0.0811979398131371,0.275342643260956,-0.690622687339783,0.259769290685654,0.0811979398131371,0.388418287038803,-1.57077300548553,0.525031328201294,-0.139401569962502,0.83662748336792,0.725661933422089,11.2419633865356,0.421056628227234,578385.375,3.55315375328064,2.38920855522156,5.29027605056763,1.45456969738007,6101.2021484375,0.587592303752899,0.311448484659195,0.525031328201294,0.524819552898407,0.259769290685654,1236.32824707031,0.486696243286133,0.275342643260956,1088.94860839844
"6","1710",1186.0625,0.0881135910749435,0.304411649703979,-0.691130459308624,0.285285830497742,0.0881135910749435,0.417686998844147,-1.57077419757843,0.498825460672379,-0.151423335075378,0.853264510631561,0.728720903396606,12.6299657821655,0.426859855651855,560878.0625,3.48761677742004,2.37524390220642,5.37248134613037,1.48954796791077,6008.87353515625,0.55607408285141,0.334378182888031,0.498825460672379,0.568468034267426,0.285285830497742,1267.05041503906,0.52762895822525,0.304411649703979,1094.63928222656
"7","1692",1139.45068359375,0.0925531461834908,0.288956493139267,-0.654864490032196,0.271058470010757,0.0925531461834908,0.397399485111237,-1.57076978683472,0.513925492763519,-0.140822634100914,0.854976117610931,0.742420792579651,12.7908411026001,0.442962497472763,591401.875,3.76485323905945,2.37650465965271,5.76460266113281,1.59042251110077,6461.89501953125,0.573491752147675,0.321068972349167,0.513925492763519,0.544915378093719,0.271058470010757,1146.10473632812,0.505012333393097,0.288956493139267,1063.83264160156
"8","1674",1107.48181152344,0.1185382604599,0.312030822038651,-0.588042914867401,0.277925431728363,0.1185382604599,0.391600519418716,-1.57077550888062,0.480667114257812,-0.147116765379906,0.860026776790619,0.742804288864136,13.2884502410889,0.442373603582382,626446.8125,3.75624203681946,2.32677888870239,5.77617883682251,1.58663094043732,6715.30908203125,0.565036535263062,0.350742518901825,0.480667114257812,0.580884635448456,0.277925431728363,1298.90454101562,0.515994131565094,0.312030822038651,1019.02130126953
"9","1656",1144.18103027344,0.0932082906365395,0.362144410610199,-0.729193031787872,0.341797679662704,0.0932082906365395,0.478456318378448,-1.57078099250793,0.440889418125153,-0.171479433774948,0.885488629341125,0.757967352867126,16.4655246734619,0.460481226444244,694936.0625,3.5303795337677,2.39181971549988,6.26334667205811,1.70700716972351,7676.63134765625,0.49053767323494,0.388031542301178,0.440889418125153,0.648407399654388,0.341797679662704,1514.84118652344,0.612087845802307,0.362144410610199,1038.57580566406
"10","1638",1204.48400878906,0.116387516260147,0.322856962680817,-0.622096538543701,0.292307108640671,0.116387516260147,0.414146244525909,-1.5707802772522,0.469054073095322,-0.153382256627083,0.853560745716095,0.727395355701447,12.6575422286987,0.41590017080307,631205.3125,3.49377059936523,2.31859755516052,5.33663320541382,1.424072265625,6584.93212890625,0.547619760036469,0.361420273780823,0.469054073095322,0.5938481092453,0.292307108640671,1461.30810546875,0.538594841957092,0.322856962680817,1108.18444824219
