ID,Weight (g),Bag #,Notes,Column1
20RITI20961,371.29,NO #,,
20RITI21493,514.53,NO #,,
20RITI20940,314.27,NO #,,
20RITI21026,327.45,NO #,,
20RITI20935,261.6,NO #,,
20RITI21465,349.16,NO #,,
20RITI21476,395.55,NO #,,
20RITI20951,224.25,NO #,,
20RITI20993,348.69,NO #,,
20RITI20932,275.61,NO #,,
20RITI20994,336.09,NO #,,
20RITI21486,404.63,NO #,,
20RITI21459,316.97,NO #,,
20RITI20996,347.92,NO #,,
20RITI21048,372.09,NO #,,
20RITI21425,313.69,NO #,,
20RITI21474,420.2,NO #,,
20RITI21433,335.83,NO #,,
20RITI20946,306.36,4,BAG 4,
20RITI21329,231.83,4,,
20RITI21412,228.47,4,,
20RITI21044,288.59,4,,
20RITI21494,321.83,4,,
20RITI20955,236.06,4,,
20RITI20943,268.59,4,,
20RITI21457,349.99,4,,
20RITI21410,336.97,4,,
20RITI21451,375.84,4,,
20RITI20997,324.07,NO #,couldn't find bag to number bag type,
20RITI20954,259.1,4,,
20RITI20960,320.73,4,,
20RITI21491,370.39,4,,
20RITI21437,387.65,4,,
20RITI20917,236.08,4,,
20RITI20963,185.93,4,Sample 20RITI20963 damp and contains mold. AH 09/08/2023,
20RITI21468,353.33,4,"Sample 20RITI21468 - pkg says ""lost seed"". AH 09/08/2023",
20RITI20995,315.15,4,,
20RITI20942,249.21,4,,
20RITI21460,314.95,4,,
20RITI21306,292.46,4,,
20RITI21067,355.79,4,,
20RITI21346,356.4,4,,
20RITI21009,283.59,4,,
20RITI21301,330.83,4,,
20RITI21344,296.89,4,,
20RITI20928,247.75,4,,add bag types as needed!
20RITI21469,338.47,4,bag 4,"* To add color: select/highlight row, select 'HOME', select 'cell styles', click color with 40%"
20RITI21461,416.31,4,,
20RITI21458,272.52,4,,
20RITI21434,332.94,4,,
20RITI21322,217.58,4,,
20RITI21323,335.11,4,,
20RITI21394,357.96,4,,
20RITI21316,262,4,,
20RITI21359,322.38,4,,
20RITI20968,354.3,4,,
20RITI21333,304.72,4,,
20RITI21385,413.02,4,,
20RITI21001,285.16,4,,
20RITI21053,339.86,4,,
20RITI20949,218.5,4,,
20RITI21002,288.28,4,,
20RITI20927,184.24,4,,
20RITI21487,334.58,4,,
20RITI21444,322.65,4,,
20RITI21020,215.32,4,,
20RITI21068,359.23,4,,
20RITI21470,321.99,4,,
20RITI21384,438.35,4,,
20RITI21019,330.28,4,,
20RITI21027,249.66,4,,
20RITI20032,295.76,5,bag 5,
20RITI20004,324.93,5,,
20RITI20073,210.27,5,,
20RITI20060,410.87,5,,
20RITI20055,280.15,5,,
20RITI20098,171.49,5,,
20RITI20012,271.38,5,,
20RITI20148,222.98,5,,
20RITI20072,296.54,5,,
20RITI20099,254.77,5,,
20RITI20084,301.38,5,,
20RITI20036,160.7,5,,
20RITI20083,139.43,5,Large tear in bottom resulting in seed loss -AH 09/12/2023,
20RITI20039,349.5,5,,
20RITI20011,297.17,5,,
20RITI20075,396,5,,
20RITI20059,358.27,5,,
20RITI20050,393.76,5,,
20RITI20071,136.64,5,,
20RITI20051,216.98,5,,
20RITI20052,345.64,5,,
20RITI20038,170.27,5,,
20RITI20013,223.71,5,,
20RITI20069,289.31,5,,
20RITI20139,111.79,5,,
20RITI20119,211.2,5,,
20RITI20097,148.4,5,,
20RITI20092,326.7,5,,
20RITI20010,327.72,5,,
20RITI20009,240.56,5,,
20RITI20093,326.67,5,,
20RITI20066,382.13,5,,
20RITI20198,227.53,5,,
20RITI20124,93.47,5,,
20RITI20033,252.81,5,,
20RITI20177,243.71,5,,
20RITI20085,477.81,5,,
20RITI20152,342.25,5,,
20RITI20070,273.15,5,,
20RITI20082,200.06,5,,
20RITI20053,80.4,5,,
20RITI20076,277.16,5,,
20RITI20090,29.86,5,,
20RITI20091,93.37,5,,
20RITI20147,221.41,5,,
20RITI20040,306.33,5,,
20RITI20064,211.58,5,"Note on bag, ""?May have lost seed?""",
20RITI20176,284.47,6,bag 6 starts,
20RITI20077,259.42,6,,
20RITI20057,355.95,6,,
20RITI20114,157.76,6,,
20RITI20058,449.73,6,,
20RITI20174,290.29,6,,
20RITI20195,379.27,6,,
20RITI20122,249.24,6,,
20RITI20197,332.74,6,,
20RITI20166,256.87,6,,
20RITI20200,211.88,6,Small hole in bag bottom-may have lost seed -AH 09/13/2023,
20RITI20081,275.14,6,,
20RITI20179,167.26,6,,
20RITI20136,136.11,6,,
20RITI20150,238.85,6,Large tear in sidewall of bag resulting in seed loss -AH 09/13/2023,
20RITI20106,171.59,6,,
20RITI20020,267.77,6,,
20RITI20111,211.07,6,,
20RITI20129,165,6,,
20RITI20095,305.06,6,,
20RITI20047,254.22,6,,
20RITI20734,337.74,6,,
20RITI20719,302.62,6,Spilled some seed putting seed into bag after weighing sample - AH 09/13/2023,
20RITI20815,312.09,6,,
20RITI20705,300.14,6,,
20RITI20701,56.56,6,,
20RITI20813,256.59,6,,
20RITI20812,336.68,6,,
20RITI20890,432.5,6,,
20RITI20717,220.55,6,,
20RITI20897,438.13,6,,
20RITI20839,313.51,6,,
20RITI20830,371.67,6,,
20RITI20854,148.9,6,,
20RITI20730,283.29,6,,
20RITI20770,367.06,6,,
20RITI20729,266.87,6,,
20RITI20853,258.28,6,,
20RITI20721,190.84,6,,
20RITI20844,233.07,6,,
20RITI20710,267.87,6,,
20RITI20810,390.45,6,,
20RITI20707,252.83,6,,
20RITI20862,453.23,6,,
20RITI20861,307.02,6,,
20RITI20865,340.54,6,,
20RITI20782,285.02,6,,
20RITI20708,277.87,6,lost seed - JB 09/13/2023,
20RITI20849,332.37,6,,
20RITI20852,416.71,6,,
20RITI20875,399.37,7,Start of bag 7,
20RITI20855,379.6,7,,
20RITI20863,86.49,7,"Bag note ""lost some seed"" - AH 09/14/2023",
20RITI20893,450.06,7,,
20RITI20846,413.75,7,,
20RITI20704,291.12,7,,
20RITI20848,386.65,7,,
20RITI20860,400.57,7,,
20RITI20820,311.51,7,,
20RITI20723,288.46,7,,
20RITI20868,374.8,7,,
20RITI20726,295.63,7,,
20RITI20771,193.5,7,,
20RITI20834,351.69,7,,
20RITI20831,419.2,7,,
20RITI20850,311.19,7,,
20RITI20724,212.39,7,,
20RITI20728,199.01,7,,
20RITI20769,299.99,7,,
20RITI20889,460.96,7,,
20RITI20762,213.46,7,,
20RITI20795,218.65,7,,
20RITI20743,202.17,7,,
20RITI20722,263.85,7,,
20RITI20845,260.92,7,,
20RITI20766,336.51,7,,
20RITI20821,68.63,7,,
20RITI20874,295.9,7,,
20RITI20859,432.8,7,,
20RITI20738,236.65,7,,
20RITI20896,367.43,7,,
20RITI20898,419.51,7,,
20RITI20786,401.24,7,,
20RITI20725,229.06,7,,
20RITI20727,260.67,7,,
20RITI20824,278.09,7,,
20RITI20732,305.26,7,,
20RITI20857,368.64,7,,
20RITI20745,220.39,7,,
20RITI20864,391.01,7,,
20RITI20899,407.89,7,,
20RITI20822,305.28,7,,
20RITI20884,575.25,7,,
20RITI20840,395.26,7,,
20RITI20867,474.96,7,,
20RITI20731,280.31,7,,
20RITI20737,301.84,8,bag 8 starts,
20RITI20735,346.36,8,,
20RITI20836,364.5,8,,
20RITI20757,307.59,8,,
20RITI20733,279.22,8,,
20RITI20886,475.85,8,,
20RITI20754,343.38,8,,
20RITI20793,350.6,8,,
20RITI20790,378.25,8,,
20RITI20778,372.69,8,,
20RITI20894,468.6,8,,
20RITI20841,275.4,8,,
20RITI20843,324,8,,
20RITI20842,434.51,8,,
20RITI20789,296.69,8,,
20RITI20740,258.4,8,,
20RITI21452,103.55,8,,
20RITI21080,331.17,8,,
20RITI20905,278.12,8,,
20RITI21442,246.16,8,,
20RITI21063,223.05,8,,
20RITI20984,198.17,8,,
20RITI21013,256.3,8,,
20RITI21492,433.07,8,"Tears on bag side edges, possible seed loss - AH 09/14/2023",
20RITI21496,170.04,8,,
20RITI20910,260.21,8,,
20RITI21045,68.57,8,,
20RITI21059,384.66,8,,
20RITI21064,281.15,8,,
20RITI21016,234.35,8,,
20RITI21432,236.87,8,,
20RITI20973,273.1,8,,
20RITI20915,282.76,8,,
20RITI21328,257.32,8,,
20RITI21093,325.59,8,,
20RITI21092,365.29,8,,
20RITI21052,318.72,8,,
20RITI21038,335.08,8,Small hole in bag bottom-may have lost seed -AH 09/15/2023,
20RITI21082,382.16,8,,
20RITI20985,285.82,9,Bag 9 starts,
20RITI21483,432.97,9,,
20RITI21098,338.55,9,,
20RITI21078,299.73,9,split some seed after wieghing - AH 09/15/2023,
20RITI20913,268.19,9,,
20RITI21479,310.82,9,,
20RITI20991,230.1,9,,
20RITI21473,451.25,9,,
20RITI21100,309.16,9,,
20RITI21062,399.9,9,,
20RITI21463,335.91,9,"Large tear at front of bag, may have resulted 8n seed loss - AH 09/15/2023",
20RITI21047,395.07,9,,
20RITI20976,338.88,9,machine cleaned on down from this sample - AH 09/15/2023,
20RITI21030,391.22,9,,
20RITI21014,296.19,9,,
20RITI21456,389.31,9,,
20RITI21264,293.59,9,,
20RITI21182,301.44,9,,
20RITI21150,332.24,9,,
20RITI21184,210.52,9,,
20RITI21190,350.36,9,,
20RITI21265,437.82,9,,
20RITI21194,323.82,9,,
20RITI21283,307.97,9,,
20RITI21280,375.82,9,,
20RITI21281,364.76,9,,
20RITI21276,236.97,9,,
20RITI21185,282.89,9,,
20RITI21187,181.74,9,,
20RITI21196,358.15,9,,
20RITI21221,409.03,9,,
20RITI21186,305.39,9,Small hole in bag bottom resulting in some seed loss - AH 09/15/2023,
20RITI21284,508.46,9,,
20RITI21282,394.3,9,,
20RITI21277,402.57,9,,
20RITI21256,492.57,9,,
20RITI21181,308.36,9,,
20RITI21294,480.84,9,,
20RITI21255,274.68,9,bag 9 ends,
20RITI21193,295.2,10,bag 10 starts,
20RITI21288,442.8,10,,
20RITI21195,262.75,10,,
20RITI21180,265.01,10,,
20RITI21179,279.69,10,,
20RITI21236,419.74,10,,
20RITI21292,477.16,10,,
20RITI21286,375.09,10,,
20RITI21171,212.66,10,,
20RITI21239,270.31,10,,
20RITI21293,398.34,10,,
20RITI21183,286.21,10,,
20RITI21175,315.14,10,,
20RITI21227,411.52,10,,
20RITI21237,325.35,10,,
20RITI21228,331.23,10,,
20RITI21229,372.02,10,,
20RITI21295,415.11,10,,
20RITI21274,445.84,10,,
20RITI21230,370.52,10,,
20RITI21240,504.54,10,,
20RITI21253,352.13,10,,
20RITI21233,280.21,10,,
20RITI21268,346.73,10,,
20RITI21219,159.1,10,,
20RITI21220,223.96,10,some seed loss before wieghing - AH 09/15/2023,
20RITI21217,307.5,10,,
20RITI21235,279.42,10,some seed loss before wieghing - AH 09/15/2023,
20RITI20986,363.74,10,,
20RITI21267,403.31,10,,
20RITI20921,171.79,10,,
20RITI21003,289.68,10,,
20RITI21260,357.3,10,,
20RITI21225,357.67,10,,
20RITI21262,394.34,10,,
20RITI21263,377.6,10,,
20RITI21290,386.55,10,,
20RITI21216,241.89,10,,
20RITI21202,329.06,10,,
20RITI21213,313.24,10,,
20RITI21313,302.36,11,bag 11 starts,
20RITI21440,468.97,11,,
20RITI21370,325.99,11,,
20RITI21334,266.23,11,,
20RITI21349,323.22,11,,
20RITI21392,344.83,11,,
20RITI21365,403.84,11,,
20RITI20982,339.23,11,,
20RITI21309,308.23,11,,
20RITI21341,336.07,11,,
20RITI21423,282.16,11,,
20RITI21455,417.25,11,,
20RITI20980,291.75,11,,
20RITI21482,514.53,11,,
20RITI21409,241.19,11,,
20RITI20933,249.65,11,,
20RITI21439,304.59,11,,
20RITI21386,398.06,11,,
20RITI21362,484.97,11,,
20RITI21381,291.85,11,,
20RITI21441,433.36,11,,
20RITI20972,305.09,11,,
20RITI20971,330.41,11,,
20RITI21417,255.59,11,,
20RITI21327,316.64,11,,
20RITI20992,313.61,11,,
20RITI21094,418.07,11,,
20RITI21395,385.06,11,,
20RITI21095,417.4,11,,
20RITI21466,396.62,11,,
20RITI21422,274.56,11,,
20RITI21435,307.61,11,,
20RITI20957,297.91,11,,
20RITI20998,304.39,11,,
20RITI20990,333.85,11,,
20RITI20959,323.66,11,,
20RITI21355,461.06,11,,
20RITI21467,462.79,11,bag 11 ends,
20RITI21375,328.46,12,bag 12 starts,
20RITI21369,339.48,12,,
20RITI21418,254.48,12,,
20RITI21066,379.31,12,,
20RITI21391,321.02,12,,
20RITI21348,358.29,12,,
20RITI21421,311.88,12,,
20RITI20999,227.34,12,,
20RITI20981,265.6,12,,
20RITI20969,240.05,12,,
20RITI20978,291.45,12,,
20RITI21340,261.44,12,,
20RITI21379,400.33,12,,
20RITI21416,315.5,12,,
20RITI21318,267.78,12,,
20RITI21368,388.37,12,,
20RITI21436,306.29,12,,
20RITI21481,293.96,12,,
20RITI21011,256.82,12,,
20RITI21079,331.97,12,,
20RITI21484,436.57,12,,
20RITI21231,324.65,12,,
20RITI21312,310.33,12,,
20RITI21447,305.64,12,small tear in bottom of bag - AH 09/28/2023,
20RITI20967,305.79,12,,
20RITI21337,253.35,12,,
20RITI21321,283.79,12,,
20RITI21475,345.57,12,,
20RITI21427,333.39,12,,
20RITI21364,454.64,12,,
20RITI21462,434.52,12,,
20RITI21238,354.19,12,,
20RITI21338,352.49,12,,
20RITI21310,215.18,12,,
20RITI21251,406.88,12,,
20RITI20958,212.53,12,,
20RITI21335,223.16,12,,
20RITI21247,289.52,12,,
20RITI21242,333.42,12,,
20RITI21358,324.94,12,,
20RITI21191,292.06,12,,
20RITI21232,227.14,12,,
20RITI21336,282.87,12,,
20RITI21029,407.28,12,,
20RITI21297,363.33,12,,
20RITI21252,330.49,12,,
20RITI21269,443.21,12,,
20RITI21273,418.25,12,,
20RITI21271,276.78,12,,
20RITI21419,216.65,13,bag 13 starts,
20RITI21431,345.26,13,,
20RITI20649,308.19,13,,
20RITI20626,359.54,13,,
20RITI20924,180.81,13,,
20RITI20930,242.96,13,,
20RITI21304,282.77,13,,
20RITI21377,337.56,13,,
20RITI20934,242.35,13,,
20RITI20369,231.54,13,,
20RITI20346,179.9,13,,
20RITI20937,259.81,13,,
20RITI21404,321.14,13,,
20RITI21056,326.92,13,,
20RITI21498,320.37,13,small tear in bottom of bag - AH 09/28/2023,
20RITI21408,321.44,13,,
20RITI21250,150.69,13,,
20RITI21022,280.65,13,,
20RITI21245,324.05,13,,
20RITI21249,323.24,13,,
20RITI20956,290.43,13,,
20RITI20365,273.2,13,,
20RITI20350,284.48,13,,
20RITI21099,313.65,13,,
20RITI21259,453.82,13,,
20RITI20909,241.02,13,,
20RITI21222,424.31,13,,
20RITI21406,302.18,13,,
20RITI21007,295.68,13,,
20RITI21223,342.07,13,,
20RITI21049,309.67,13,,
20RITI20901,189.94,13,,
20RITI21210,378.45,13,,
20RITI21798,371.37,13,,
20RITI20352,304.83,13,,
20RITI21401,419.55,13,,
20RITI21088,386.45,13,,
20RITI21291,132.82,13,,
20RITI21244,258.62,13,,
20RITI21203,360.38,13,,
20RITI21272,452.69,13,,
20RITI21254,219.28,13,,
20RITI21224,315.62,13,,
20RITI21218,278.92,13,,
20RITI21211,333.42,13,,
20RITI21205,455.07,13,,
20RITI21201,427.9,13,,
