plot,gsdplot,
20RITI20269,168.89,
20RITI20270,132.39,
20RITI20271,72.23,
20RITI20272,52.46,
20RITI20273,88.89,
20RITI20274,26.56,
20RITI20275,37.31,
20RITI20276,18.22,
20RITI20277,32.53,
20RITI20278,9.56,
20RITI20279,12.84,
20RITI20280,19.16,
20RITI20281,20.77,
20RITI20282,19.39,
20RITI20283,66.45,
20RITI20284,81.12,
20RITI20285,50.33,
20RITI20286,54.46,
20RITI20287,131.41,
20RITI20288,59.35,
20RITI20289,0.4,
20RITI20290,50.07,
20RITI20291,94.69,
20RITI20292,64.49,
20RITI20293,0,
20RITI20294,21.17,
20RITI20295,13.19,
20RITI20296,38.58,
20RITI20297,27.2,
20RITI20298,31.4,
20RITI20299,41.42,
20RITI20300,41.05,
20RITI20301,58.25,
20RITI20302,67.36,
20RITI20303,46.38,
20RITI20304,39,
20RITI20305,13.05,
20RITI20306,52.36,
20RITI20307,43.63,
20RITI20308,37.14,
20RITI20309,12.38,
20RITI20310,49.4,
20RITI20311,42.83,
20RITI20312,41.14,
20RITI20313,0.52,
20RITI20314,94.6,
20RITI20315,0.09,
20RITI20316,7.61,
20RITI20317,23.24,
20RITI20318,73.8,
20RITI20319,41.46,
20RITI20320,50.35,
20RITI20321,38.78,
20RITI20322,56.18,
20RITI20323,61.95,
20RITI20324,46.31,
20RITI20325,0.03,
20RITI20326,51.69,
20RITI20327,42.12,
20RITI20328,29.26,
20RITI20329,6.41,
20RITI20330,33.05,
20RITI20331,61.32,
20RITI20332,14.13,
20RITI20333,13.72,
20RITI20334,24.84,
20RITI20335,49.25,
20RITI20336,80.64,
20RITI20337,91.01,
20RITI20338,66.18,
20RITI20339,66.27,
20RITI20340,74.62,
20RITI20341,57.62,
20RITI20342,89.5,
20RITI20343,90.1,
20RITI20344,62.86,
20RITI20345,90.75,
20RITI20346,27.53,
20RITI20347,37.38,
20RITI20348,70.37,
20RITI20349,72.79,
20RITI20350,39.38,
20RITI20351,50.89,
20RITI20352,124.57,
20RITI20353,52.41,
20RITI20354,46.9,
20RITI20355,53.24,
20RITI20356,58.14,
20RITI20357,105.92,
20RITI20358,30.83,
20RITI20359,81.86,
20RITI20360,65.94,
20RITI20361,111.15,
20RITI20362,40.93,
20RITI20363,37.52,
20RITI20364,108.51,
20RITI20365,30.22,
20RITI20366,9.51,
20RITI20367,32,
20RITI20368,57.86,
20RITI20369,77.82,
20RITI20370,11.17,
20RITI20371,14.11,
20RITI20372,61.24,
20RITI20373,49.71,
20RITI20374,0.45,
20RITI20375,29.84,
20RITI20376,17.13,
20RITI20377,12.16,
20RITI20378,0.3,
20RITI20379,3.04,
20RITI20380,1.6,
20RITI20381,1.8,
20RITI20382,3.17,
20RITI20383,11.25,
20RITI20384,56.13,
20RITI20385,33.77,
20RITI20386,68.6,
20RITI20387,113.45,
20RITI20388,107.82,
20RITI20389,34.51,
20RITI20390,40.72,
20RITI20391,46.26,
20RITI20392,25.04,
20RITI20393,16.32,
20RITI20394,5.82,
20RITI20395,31.11,
20RITI20396,25.29,
20RITI20397,51.01,
20RITI20398,59.77,
20RITI20399,132.53,
20RITI20400,13.81,
20RITI20401,3.63,
20RITI20402,96.84,
20RITI20403,45.04,
20RITI20404,112.52,
20RITI20405,90,
20RITI20406,33.09,
20RITI20407,14.75,
20RITI20408,39.48,
20RITI20409,47.1,
20RITI20410,54.5,
20RITI20411,0.09,
20RITI20412,116.1,
20RITI20413,105.47,
20RITI20414,7.13,
20RITI20415,79.51,
20RITI20416,106.5,
20RITI20417,71.86,
20RITI20418,92.68,
20RITI20419,15.15,
20RITI20420,5.5,
20RITI20421,28.13,
20RITI20422,63.63,
20RITI20423,31.85,
20RITI20424,76.11,
20RITI20425,77.84,
20RITI20426,53.47,
20RITI20427,39.02,
20RITI20428,12.64,
20RITI20429,92.88,
20RITI20430,109.97,
20RITI20431,111.63,
20RITI20432,77.89,
20RITI20433,33.9,
20RITI20434,93.85,
20RITI20435,197.22,
20RITI20436,123.99,
20RITI20437,104.3,
20RITI20438,98.14,
20RITI20439,130.97,
20RITI20440,0.21,
20RITI20441,109.57,
20RITI20442,71.5,
20RITI20443,116.47,
20RITI20444,24.57,
20RITI20445,71.79,
20RITI20446,101.68,
20RITI20447,44.68,
20RITI20448,102.33,
20RITI20449,85.77,
20RITI20450,121.14,
20RITI20451,34,
20RITI20452,4.36,
20RITI20453,72.5,
20RITI20454,58.39,
20RITI20455,119.03,
20RITI20456,28.75,
20RITI20457,71.04,
20RITI20458,91.66,
20RITI20459,56.07,
20RITI20460,47.27,
20RITI20461,37.6,
20RITI20462,53.92,
20RITI20463,58.8,
20RITI20464,100.35,
20RITI20465,123.97,
20RITI20466,97.28,
20RITI20467,97,
20RITI20468,127.52,
20RITI20469,110.34,
20RITI20470,108.19,
20RITI20471,0,
20RITI20472,28.18,
20RITI20473,28.78,
20RITI20474,54.14,
20RITI20475,11.93,
20RITI20476,7.58,
20RITI20477,2.45,
20RITI20478,2.65,
20RITI20479,8.95,
20RITI20480,0.86,
20RITI20481,2.43,
20RITI20482,2.6,
20RITI20483,63.32,
20RITI20484,56.47,
20RITI20485,100.63,
20RITI20486,119.02,
20RITI20487,79.4,
20RITI20488,67.27,
20RITI20489,112.1,
20RITI20490,137.8,
20RITI20491,139.91,
20RITI20492,9.17,
20RITI20493,0.35,
20RITI20494,16.06,
20RITI20495,6.45,
20RITI20496,26.5,
20RITI20497,19.37,
20RITI20498,19.74,
20RITI20499,27.01,
20RITI20500,15.53,plots 21780 amd 21781 were mixed in one bag 
20RITI20501,29.84,
20RITI20502,0.32,
20RITI20503,62.51,
20RITI20504,38.84,
20RITI20505,17.06,
20RITI20506,20.15,
20RITI20507,27.49,
20RITI20508,38.23,
20RITI20509,59.77,
20RITI20510,0.04,
20RITI20511,56.65,
