fid,left,top,right,bottom,id,BI2023_06_16,SCI2023_06_16,GLI2023_06_16,HI2023_06_16,NGRDI2023_06_16,SI2023_06_16,VARI2023_06_16,HUE2023_06_16,BGI2023_06_16,PSRI2023_06_16,NDVI2023_06_16,GNDVI2023_06_16,RVI2023_06_16,NDRE2023_06_16,TVI2023_06_16,CVI2023_06_16,EVI2023_06_16,CIG2023_06_16,CIRE2023_06_16,DVI2023_06_16,GR2023_06_16,NGBDI2023_06_16,BGI22023_06_16,RGBVI2023_06_16,GRVI2023_06_16,EXG2023_06_16,MGRVI2023_06_16,GLA2023_06_16,IHS2023_06_16
"1",431031.0546,4637752.2322,431034.0546,4637751.3222,"1800",1266.46142578125,0.119134590029716,0.195424973964691,-0.380646646022797,0.154796212911606,0.119134590029716,0.240609362721443,-1.57076251506805,0.602096676826477,-0.103786885738373,0.802459955215454,0.71723872423172,9.1245288848877,0.452867597341537,581376.4375,4.36651802062988,2.27536034584045,5.07310485839844,1.65542232990265,6487.21923828125,0.731907308101654,0.248364150524139,0.602096676826477,0.387063831090927,0.154796212911606,941.053405761719,0.302347630262375,0.195424973964691,1202.89575195312
"2",431031.0546,4637751.3222,431034.0546,4637750.4122,"1799",1408.40576171875,0.111575551331043,0.199535861611366,-0.389654159545898,0.158702254295349,0.111575551331043,0.243830189108849,-1.57076835632324,0.592378556728363,-0.107317000627518,0.785849511623383,0.70086669921875,8.33922863006592,0.427408665418625,564580,3.93164300918579,2.25891375541687,4.68598175048828,1.4928925037384,6163.24365234375,0.72606897354126,0.255982756614685,0.592378556728363,0.394503712654114,0.158702254295349,1073.65832519531,0.309606641530991,0.199535861611366,1327.2041015625
"3",431031.0546,4637750.4122,431034.0546,4637749.5022,"1798",1658.78405761719,0.163923144340515,0.153295785188675,0.0803444311022758,0.0848458558320999,0.163923144340515,0.126964241266251,-1.57075679302216,0.614266872406006,-0.0696900486946106,0.689244091510773,0.655419826507568,5.43592119216919,0.389937311410904,441735.03125,3.82495188713074,1.87451100349426,3.80416512489319,1.27835166454315,4881.6728515625,0.843579888343811,0.23895251750946,0.614266872406006,0.320835560560226,0.0848458558320999,979.875122070312,0.168478861451149,0.153295785188675,1576.04528808594
"4",431031.0546,4637749.5022,431034.0546,4637748.5922,"1797",1189.20495605469,0.13390426337719,0.225763112306595,-0.35596838593483,0.173009902238846,0.13390426337719,0.257733732461929,-1.57077169418335,0.555992901325226,-0.111354000866413,0.849923968315125,0.768393456935883,12.3265819549561,0.503622889518738,664847.6875,4.71440649032593,2.25473833084106,6.63533544540405,2.02919459342957,7902.9130859375,0.705015420913696,0.285352915525436,0.555992901325226,0.447146028280258,0.173009902238846,1106.22180175781,0.335963606834412,0.225763112306595,1124.1826171875
"5",431031.0546,4637748.5922,431034.0546,4637747.6822,"1796",1400.68151855469,0.145986944437027,0.224558174610138,-0.354815632104874,0.185187369585037,0.145986944437027,0.276417344808578,-1.57076895236969,0.564404606819153,-0.110132522881031,0.826697409152985,0.713011801242828,10.5405359268188,0.424718469381332,576497.5,3.58750653266907,2.22102975845337,4.96892833709717,1.47655856609344,6267.91943359375,0.687496960163116,0.27844163775444,0.564404606819153,0.4500532746315,0.185187369585037,1135.70922851562,0.358094096183777,0.224558174610138,1277.32629394531
"6",431031.0546,4637747.6822,431034.0546,4637746.7722,"1795",1364.90222167969,0.142828792333603,0.184761434793472,-0.217925772070885,0.136467844247818,0.142828792333603,0.210004195570946,-1.57075452804565,0.596259415149689,-0.0861120074987411,0.800624370574951,0.711144745349884,9.03131580352783,0.42839127779007,511604.28125,3.81320405006409,2.17916250228882,4.92388296127319,1.49889695644379,5721.41650390625,0.75983864068985,0.252929210662842,0.596259415149689,0.379627168178558,0.136467844247818,971.462036132812,0.26794558763504,0.184761434793472,1277.52087402344
"7",431031.0546,4637746.7722,431034.0546,4637745.8622,"1794",1540.15173339844,0.143432080745697,0.188490673899651,-0.191903948783875,0.136260986328125,0.143432080745697,0.206752330064774,-1.57076573371887,0.592685759067535,-0.0928927883505821,0.742826104164124,0.669645011425018,6.77683973312378,0.384147495031357,483017.28125,3.57151126861572,2.10649013519287,4.05409383773804,1.24753081798553,5165.28173828125,0.760159015655518,0.255740463733673,0.592685759067535,0.382649004459381,0.136260986328125,1044.83923339844,0.267554253339767,0.188490673899651,1452.56201171875
"8",431031.0546,4637745.8622,431034.0546,4637744.9522,"1793",1741.15234375,0.153549492359161,0.168872863054276,-0.0467238388955593,0.114038288593292,0.153549492359161,0.173225983977318,-1.57075989246368,0.608619570732117,-0.0805294364690781,0.724781453609467,0.646236538887024,6.26695156097412,0.363572537899017,495682.90625,3.4977855682373,2.05439734458923,3.6534960269928,1.14254188537598,5233.3017578125,0.795270383358002,0.243302062153816,0.608619570732117,0.345709919929504,0.114038288593292,1044.20861816406,0.225148588418961,0.168872863054276,1648.52941894531
"9",431031.0546,4637744.9522,431034.0546,4637744.0422,"1792",1414.37145996094,0.0711077228188515,0.255273669958115,-0.67134428024292,0.235564485192299,0.0711077228188515,0.359211534261703,-1.57077777385712,0.553815901279449,-0.142452508211136,0.838634073734283,0.717177510261536,11.394190788269,0.431205213069916,605910.875,3.29705262184143,2.38902044296265,5.07157325744629,1.51620662212372,6446.64404296875,0.618693351745605,0.287153750658035,0.553815901279449,0.491968393325806,0.235564485192299,1339.58813476562,0.446360170841217,0.255273669958115,1309.42260742188
"10",431031.0546,4637744.0422,431034.0546,4637743.1322,"1791",1119.61218261719,-0.0210319142788649,0.31603592634201,-1.05997490882874,0.341345250606537,-0.0210319142788649,0.530103206634521,-1.57077527046204,0.527533650398254,-0.178360790014267,0.902910470962524,0.778367042541504,19.5995464324951,0.514544725418091,739634.625,3.54759430885315,2.58829689025879,7.02393007278442,2.11984419822693,8526.8544921875,0.49104043841362,0.309300154447556,0.527533650398254,0.58703887462616,0.341345250606537,1337.91979980469,0.611446797847748,0.31603592634201,1012.39080810547
