fid,left,top,right,bottom,id,BI2022_06_21,SCI2022_06_21,GLI2022_06_21,HI2022_06_21,NGRDI2022_06_21,SI2022_06_21,VARI2022_06_21,HUE2022_06_21,BGI2022_06_21,PSRI2022_06_21,NDVI2022_06_21,GNDVI2022_06_21,RVI2022_06_21,NDRE2022_06_21,TVI2022_06_21,CVI2022_06_21,EVI2022_06_21,CIG2022_06_21,CIRE2022_06_21,DVI2022_06_21,GR2022_06_21,NGBDI2022_06_21,BGI22022_06_21,RGBVI2022_06_21,GRVI2022_06_21,EXG2022_06_21,MGRVI2022_06_21,GLA2022_06_21,IHS2022_06_21
"11",431031.0546,4637743.1322,431034.0546,4637742.2222,"1790",1577.15551757812,0.0987890884280205,0.21091727912426,-0.388540297746658,0.167467162013054,0.0987890884280205,0.254977345466614,-1.57077622413635,0.594103574752808,-0.0418840050697327,0.530750513076782,0.375081568956375,3.26212501525879,-0.421240001916885,182819.796875,1.65587723255157,1.82951676845551,1.20041763782501,-0.592778146266937,-6210.5537109375,0.713110268115997,0.254623621702194,0.594103574752808,0.408922404050827,0.167467162013054,1178.4013671875,0.325797259807587,0.21091727912426,1515.77978515625
"12",431031.0546,4637742.2222,431034.0546,4637741.3122,"1789",1487.35375976562,-0.0215094648301601,0.291971355676651,-1.10291743278503,0.305761754512787,-0.0215094648301601,0.481438040733337,-1.57078373432159,0.570656180381775,-0.0586337894201279,0.65085107088089,0.392870157957077,4.72821378707886,-0.477752238512039,234938.6875,1.35035693645477,2.94972586631775,1.2941882610321,-0.646593153476715,-8457.0078125,0.531673014163971,0.273353159427643,0.570656180381775,0.540023922920227,0.305761754512787,1549.05151367188,0.559239983558655,0.291971355676651,1401.60034179688
"13",431031.0546,4637741.3122,431034.0546,4637740.4022,"1788",2010.67419433594,0.0413006991147995,0.243741244077682,-0.780996322631836,0.233085125684738,0.0413006991147995,0.36345037817955,-1.57077872753143,0.604239702224731,-0.0492280758917332,0.584528565406799,0.347745686769485,3.81380820274353,-0.42441600561142,196093.0625,1.472536444664,2.06636643409729,1.0662887096405,-0.595915794372559,-6456.63671875,0.621948003768921,0.246696501970291,0.604239702224731,0.463367074728012,0.233085125684738,1303.71350097656,0.442148864269257,0.243741244077682,1897.69323730469
"14",431031.0546,4637740.4022,431034.0546,4637739.4922,"1787",1648.45629882812,-0.0101757803931832,0.312052220106125,-1.04325413703918,0.322391122579575,-0.0101757803931832,0.494256854057312,-1.57078778743744,0.538501679897308,-0.0658783838152885,0.656092882156372,0.398316979408264,4.81552410125732,-0.465890049934387,268692.125,1.27592778205872,2.90193486213684,1.32400941848755,-0.63564121723175,-9183.01953125,0.512411892414093,0.299966096878052,0.538501679897308,0.570958256721497,0.322391122579575,1889.17370605469,0.584075689315796,0.312052220106125,1551.1142578125
"15",431031.0546,4637739.4922,431034.0546,4637738.5822,"1786",2352.0517578125,0.147997990250587,0.16933012008667,0.061626061797142,0.104133896529675,0.147997990250587,0.155073687434196,-1.57078039646149,0.62010395526886,-0.0400473512709141,0.426420897245407,0.332744151353836,2.48687744140625,-0.321323037147522,200599.90625,1.65329706668854,1.22196400165558,0.997350990772247,-0.486365616321564,-4975.94873046875,0.811374545097351,0.234488680958748,0.62010395526886,0.340425759553909,0.104133896529675,1351.90380859375,0.206033602356911,0.16933012008667,2268.13330078125
"16",431031.0546,4637738.5822,431034.0546,4637737.6722,"1785",2423.15112304688,0.130939275026321,0.161589026451111,-0.0391349978744984,0.106563486158848,0.130939275026321,0.161515817046165,-1.57077860832214,0.641655743122101,-0.0390005968511105,0.416828274726868,0.318336755037308,2.42952156066895,-0.321117907762527,187573.65625,1.64358425140381,1.27524054050446,0.934000134468079,-0.486130595207214,-5033.87109375,0.807397425174713,0.218282222747803,0.641655743122101,0.322067618370056,0.106563486158848,1263.39831542969,0.210733935236931,0.161589026451111,2334.6171875
"17",431031.0546,4637737.6722,431034.0546,4637736.7622,"1784",1882.44482421875,0.136693090200424,0.205544278025627,-0.170447558164597,0.146336361765862,0.136693090200424,0.216382667422295,-1.57077240943909,0.588847815990448,-0.0401360690593719,0.484313815832138,0.345095843076706,2.87832808494568,-0.361000150442123,164496.921875,1.65290653705597,1.48142921924591,1.05388200283051,-0.530492424964905,-4850.29541015625,0.74468868970871,0.258773803710938,0.588847815990448,0.401917487382889,0.146336361765862,1127.83642578125,0.286536693572998,0.205544278025627,1797.30944824219
"18",431031.0546,4637736.7622,431034.0546,4637735.8522,"1783",1722.72045898438,0.117129497230053,0.22896608710289,-0.387849926948547,0.184159621596336,0.117129497230053,0.275086551904678,-1.57077765464783,0.588452398777008,-0.0437513999640942,0.544711530208588,0.367937743663788,3.39281940460205,-0.42343857884407,188514.859375,1.62372744083405,1.72183048725128,1.16424536705017,-0.594951689243317,-6812.58056640625,0.688961505889893,0.259087145328522,0.588452398777008,0.440554469823837,0.184159621596336,1233.6787109375,0.356237530708313,0.22896608710289,1654.02355957031
"19",431034.0546,4637752.2322,431037.0546,4637751.3222,"1782",2092.33276367188,0.112905018031597,0.196373745799065,-0.27486652135849,0.147958353161812,0.112905018031597,0.226077020168304,-1.57077503204346,0.609328627586365,-0.0403974615037441,0.486201733350754,0.341062009334564,2.89257860183716,-0.356330245733261,184729.875,1.63956415653229,1.62367069721222,1.03518688678741,-0.525432825088501,-5509.12744140625,0.742223501205444,0.242754265666008,0.609328627586365,0.38478684425354,0.147958353161812,1195.32958984375,0.28957736492157,0.196373745799065,2006.36157226562
"20",431034.0546,4637751.3222,431037.0546,4637750.4122,"1781",2052.44189453125,0.155073553323746,0.162626579403877,0.146797373890877,0.0904829949140549,0.155073553323746,0.135775670409203,-1.5707756280899,0.615061461925507,-0.03683877363801,0.418557554483414,0.333895206451416,2.43972158432007,-0.328105330467224,169384.71875,1.68003499507904,1.21626353263855,1.00253045558929,-0.494095355272293,-4508.6640625,0.834049701690674,0.238342985510826,0.615061461925507,0.328765273094177,0.0904829949140549,1176.6201171875,0.179496422410011,0.162626579403877,1975.85363769531
"21",431034.0546,4637750.4122,431037.0546,4637749.5022,"1780",1689.09375,-0.0246878862380981,0.309947401285172,-1.10702335834503,0.324228405952454,-0.0246878862380981,0.504578351974487,-1.57078754901886,0.547190845012665,-0.0653482675552368,0.649542629718781,0.393070340156555,4.70682764053345,-0.477771043777466,256343.890625,1.24839532375336,3.21039652824402,1.29527485370636,-0.646610379219055,-9264.607421875,0.510313451290131,0.292665302753448,0.547190845012665,0.567029893398285,0.324228405952454,1840.92956542969,0.586772859096527,0.309947401285172,1596.90087890625
"22",431034.0546,4637749.5022,431037.0546,4637748.5922,"1779",1597.99890136719,-0.0144989378750324,0.3095383644104,-1.06016886234283,0.325422585010529,-0.0144989378750324,0.50093275308609,-1.57078564167023,0.553724944591522,-0.0617802478373051,0.662527859210968,0.40638929605484,4.92641496658325,-0.468970984220505,247670.34375,1.30896651744843,2.84260630607605,1.36921143531799,-0.638502717018127,-8849.6513671875,0.508952736854553,0.287229120731354,0.553724944591522,0.567981719970703,0.325422585010529,1695.99108886719,0.588520884513855,0.3095383644104,1509.14331054688
"23",431034.0546,4637748.5922,431037.0546,4637747.6822,"1778",1674.39819335938,0.00420953100547194,0.299625039100647,-0.981980681419373,0.30586901307106,0.00420953100547194,0.470470637083054,-1.5707870721817,0.550321102142334,-0.0673211887478828,0.638493359088898,0.396111607551575,4.5324010848999,-0.430256128311157,257755.109375,1.30640053749084,2.73766779899597,1.3118702173233,-0.601648986339569,-7582.1826171875,0.53154718875885,0.290055334568024,0.550321102142334,0.552858114242554,0.30586901307106,1804.93981933594,0.559402644634247,0.299625039100647,1580.65795898438
"24",431034.0546,4637747.6822,431037.0546,4637746.7722,"1777",1658.46423339844,-0.0518116503953934,0.311576843261719,-1.23247230052948,0.341034263372421,-0.0518116503953934,0.540032744407654,-1.57078766822815,0.563475489616394,-0.0681822821497917,0.662883996963501,0.393565773963928,4.93267583847046,-0.466776460409164,266758.28125,1.23182463645935,3.53542232513428,1.29796695709229,-0.636465728282928,-9238.0400390625,0.491386204957962,0.27920138835907,0.563475489616394,0.570632755756378,0.341034263372421,1857.6142578125,0.611005902290344,0.311576843261719,1564.78039550781
"25",431034.0546,4637746.7722,431037.0546,4637745.8622,"1776",2297.20483398438,0.0216456204652786,0.287694960832596,-0.904597043991089,0.287398815155029,0.0216456204652786,0.440731883049011,-1.57078468799591,0.574329257011414,-0.0597168654203415,0.617639541625977,0.362167745828629,4.23066663742065,-0.412737488746643,225586.265625,1.37094950675964,2.56634473800659,1.13562071323395,-0.584308862686157,-7446.2138671875,0.553520083427429,0.270382255315781,0.574329257011414,0.532993078231812,0.287398815155029,1573.97888183594,0.530942797660828,0.287694960832596,2166.43505859375
